sample_id,blocking_violation_count,warning_violation_count,authorization_status_score,authorization_out_of_scope,rag_evidence_count,law_of_war_rule_hit,label
compliance-reference-0057,2.0,1.0,0.48119,0.0,1.0,0.0,1
compliance-reference-0058,1.0,2.0,0.280172,0.0,2.0,1.0,1
compliance-reference-0059,2.0,3.0,0.382937,0.0,2.0,1.0,1
compliance-reference-0060,0.0,3.0,0.341959,1.0,3.0,0.0,0
compliance-reference-0061,0.0,2.0,0.274052,0.0,2.0,1.0,0
compliance-reference-0062,0.0,2.0,0.69926,0.0,1.0,1.0,0
compliance-reference-0063,1.0,0.0,0.566195,0.0,5.0,0.0,0
compliance-reference-0064,0.0,3.0,0.38649,0.0,0.0,0.0,0
compliance-reference-0065,1.0,3.0,0.400776,1.0,5.0,1.0,1
compliance-reference-0066,2.0,0.0,0.130315,0.0,3.0,1.0,1
compliance-reference-0067,1.0,1.0,0.423537,0.0,5.0,1.0,1
compliance-reference-0068,1.0,0.0,0.979128,0.0,1.0,1.0,0
compliance-reference-0069,2.0,2.0,0.007313,1.0,5.0,0.0,1
compliance-reference-0070,2.0,0.0,0.614178,0.0,5.0,0.0,1
compliance-reference-0071,1.0,4.0,0.269603,1.0,4.0,0.0,1
compliance-reference-0072,1.0,0.0,0.941626,0.0,4.0,0.0,0
compliance-reference-0073,0.0,2.0,0.651183,0.0,2.0,0.0,0
compliance-reference-0074,2.0,1.0,0.824291,0.0,5.0,1.0,1
compliance-reference-0075,0.0,4.0,0.922054,0.0,2.0,0.0,0
compliance-reference-0076,1.0,1.0,0.708412,0.0,5.0,1.0,1
compliance-reference-0077,2.0,2.0,0.409822,1.0,0.0,0.0,1
compliance-reference-0078,0.0,3.0,0.862374,0.0,5.0,0.0,0
compliance-reference-0079,1.0,0.0,0.560144,0.0,0.0,0.0,0
compliance-reference-0080,2.0,4.0,0.687493,1.0,0.0,0.0,1
compliance-reference-0081,2.0,0.0,0.346787,1.0,1.0,0.0,1
compliance-reference-0082,2.0,2.0,0.217677,1.0,3.0,0.0,1
compliance-reference-0083,2.0,1.0,0.704,0.0,4.0,0.0,1
compliance-reference-0084,2.0,3.0,0.01401,0.0,5.0,1.0,1
compliance-reference-0085,2.0,0.0,0.8187,1.0,2.0,0.0,1
compliance-reference-0086,1.0,3.0,0.796211,0.0,5.0,0.0,1
compliance-reference-0087,0.0,0.0,0.966023,0.0,1.0,1.0,0
compliance-reference-0088,1.0,2.0,0.062593,0.0,2.0,0.0,0
compliance-reference-0089,1.0,0.0,0.168929,0.0,2.0,0.0,0
compliance-reference-0090,2.0,0.0,0.669421,0.0,4.0,0.0,1
compliance-reference-0091,1.0,0.0,0.597413,0.0,0.0,0.0,0
compliance-reference-0092,1.0,1.0,0.209752,0.0,3.0,0.0,0
compliance-reference-0093,2.0,1.0,0.835486,0.0,0.0,0.0,1
compliance-reference-0094,1.0,1.0,0.036551,1.0,0.0,0.0,0
compliance-reference-0095,1.0,3.0,0.657096,0.0,0.0,1.0,1
compliance-reference-0096,1.0,0.0,0.266638,0.0,2.0,0.0,0
compliance-reference-0097,1.0,3.0,0.049136,0.0,3.0,0.0,1
compliance-reference-0098,0.0,4.0,0.066578,0.0,0.0,0.0,0
compliance-reference-0099,0.0,3.0,0.82489,0.0,3.0,0.0,0
compliance-reference-0100,1.0,3.0,0.85656,0.0,0.0,1.0,1
compliance-reference-0101,0.0,4.0,0.417736,0.0,5.0,1.0,1
compliance-reference-0102,0.0,0.0,0.167581,0.0,5.0,0.0,0
compliance-reference-0103,0.0,1.0,0.675641,0.0,1.0,0.0,0
compliance-reference-0104,1.0,4.0,0.177979,0.0,4.0,1.0,1
compliance-reference-0105,1.0,3.0,0.366736,0.0,3.0,0.0,1
compliance-reference-0106,2.0,1.0,0.532608,0.0,1.0,1.0,1
compliance-reference-0107,1.0,0.0,0.382658,1.0,3.0,0.0,1
compliance-reference-0108,1.0,4.0,0.598206,0.0,4.0,0.0,1
compliance-reference-0109,2.0,1.0,0.680979,0.0,1.0,0.0,1
compliance-reference-0110,0.0,4.0,0.589388,0.0,2.0,0.0,0
compliance-reference-0111,1.0,2.0,0.671936,0.0,2.0,0.0,1
compliance-reference-0112,0.0,0.0,0.641809,0.0,5.0,0.0,0
compliance-reference-0113,2.0,3.0,0.952712,0.0,1.0,0.0,1
compliance-reference-0114,2.0,0.0,0.072827,1.0,3.0,0.0,1
compliance-reference-0115,0.0,3.0,0.378645,0.0,0.0,0.0,0
compliance-reference-0116,1.0,3.0,0.389331,0.0,4.0,0.0,1
compliance-reference-0117,2.0,0.0,0.88157,0.0,2.0,0.0,1
compliance-reference-0118,0.0,3.0,0.946483,0.0,2.0,0.0,0
compliance-reference-0119,1.0,2.0,0.185424,1.0,2.0,1.0,1
compliance-reference-0120,1.0,1.0,0.681241,0.0,0.0,0.0,0
compliance-reference-0121,2.0,3.0,0.893323,0.0,5.0,0.0,1
compliance-reference-0122,0.0,4.0,0.30951,0.0,0.0,0.0,0
compliance-reference-0123,1.0,3.0,0.419075,0.0,4.0,0.0,1
compliance-reference-0124,2.0,2.0,0.607959,0.0,3.0,0.0,1
compliance-reference-0125,2.0,3.0,0.68529,0.0,5.0,1.0,1
compliance-reference-0126,0.0,0.0,0.053854,1.0,5.0,0.0,0
compliance-reference-0127,1.0,0.0,0.387635,0.0,5.0,1.0,0
compliance-reference-0128,1.0,0.0,0.359315,0.0,0.0,0.0,0
compliance-reference-0129,0.0,3.0,0.705853,0.0,0.0,0.0,0
compliance-reference-0130,2.0,1.0,0.302399,0.0,2.0,0.0,1
compliance-reference-0131,2.0,1.0,0.642948,0.0,5.0,1.0,1
compliance-reference-0132,0.0,2.0,0.952581,1.0,5.0,0.0,0
compliance-reference-0133,2.0,2.0,0.984487,0.0,4.0,0.0,1
compliance-reference-0134,0.0,2.0,0.156466,0.0,0.0,0.0,0
compliance-reference-0135,1.0,0.0,0.025716,0.0,2.0,1.0,1
compliance-reference-0136,1.0,1.0,0.051064,0.0,3.0,0.0,0
compliance-reference-0137,2.0,1.0,0.99566,0.0,0.0,0.0,1
compliance-reference-0138,2.0,1.0,0.529861,0.0,0.0,0.0,1
compliance-reference-0139,2.0,1.0,0.836162,0.0,4.0,0.0,1
compliance-reference-0140,1.0,0.0,0.377468,0.0,0.0,0.0,0
compliance-reference-0141,0.0,2.0,0.448557,0.0,0.0,1.0,0
compliance-reference-0142,2.0,3.0,0.650285,0.0,0.0,0.0,1
compliance-reference-0143,1.0,0.0,0.010062,0.0,2.0,1.0,0
compliance-reference-0144,1.0,2.0,0.317724,0.0,1.0,1.0,1
compliance-reference-0145,2.0,3.0,0.404051,1.0,1.0,1.0,1
compliance-reference-0146,1.0,4.0,0.481586,1.0,0.0,1.0,1
compliance-reference-0147,1.0,0.0,0.429825,0.0,5.0,1.0,1
compliance-reference-0148,2.0,4.0,0.620624,0.0,1.0,0.0,1
compliance-reference-0149,1.0,3.0,0.551903,0.0,5.0,1.0,1
compliance-reference-0150,1.0,3.0,0.324923,0.0,3.0,0.0,1
compliance-reference-0151,1.0,0.0,0.759602,0.0,1.0,1.0,0
compliance-reference-0152,1.0,1.0,0.691054,0.0,4.0,0.0,1
compliance-reference-0153,1.0,0.0,0.915316,0.0,4.0,0.0,0
compliance-reference-0154,0.0,3.0,0.448934,0.0,1.0,1.0,0
compliance-reference-0155,1.0,2.0,0.551369,1.0,0.0,1.0,1
compliance-reference-0156,0.0,1.0,0.637661,0.0,1.0,0.0,0
compliance-reference-0157,2.0,0.0,0.102393,0.0,5.0,0.0,1
compliance-reference-0158,0.0,0.0,0.721592,0.0,2.0,0.0,0
compliance-reference-0159,2.0,1.0,0.433334,0.0,3.0,0.0,1
compliance-reference-0160,0.0,1.0,0.437124,0.0,1.0,1.0,0
compliance-reference-0161,2.0,3.0,0.167742,1.0,3.0,1.0,1
compliance-reference-0162,2.0,1.0,0.115018,0.0,1.0,0.0,1
compliance-reference-0163,2.0,2.0,0.010769,0.0,4.0,0.0,1
compliance-reference-0164,0.0,2.0,0.053496,0.0,0.0,0.0,0
compliance-reference-0165,1.0,3.0,0.403823,0.0,0.0,1.0,1
compliance-reference-0166,0.0,0.0,0.727988,1.0,4.0,0.0,0
compliance-reference-0167,0.0,4.0,0.486102,0.0,5.0,1.0,0
compliance-reference-0168,2.0,3.0,0.984269,0.0,1.0,1.0,1
compliance-reference-0169,1.0,0.0,0.61933,0.0,2.0,0.0,0
compliance-reference-0170,2.0,0.0,0.566564,0.0,3.0,0.0,1
compliance-reference-0171,0.0,3.0,0.824077,0.0,5.0,0.0,0
compliance-reference-0172,2.0,4.0,0.77473,0.0,3.0,1.0,1
compliance-reference-0173,1.0,2.0,0.843215,0.0,5.0,0.0,1
compliance-reference-0174,2.0,0.0,0.391793,0.0,2.0,0.0,1
compliance-reference-0175,2.0,1.0,0.00697,0.0,0.0,0.0,1
compliance-reference-0176,2.0,1.0,0.438154,0.0,0.0,0.0,1
compliance-reference-0177,1.0,4.0,0.491367,0.0,2.0,0.0,1
compliance-reference-0178,1.0,2.0,0.557366,0.0,2.0,0.0,1
compliance-reference-0179,2.0,0.0,0.584931,0.0,2.0,0.0,1
compliance-reference-0180,1.0,4.0,0.782145,0.0,2.0,1.0,1
compliance-reference-0181,2.0,1.0,0.541265,0.0,0.0,0.0,1
compliance-reference-0182,2.0,0.0,0.698537,1.0,5.0,0.0,1
compliance-reference-0183,0.0,1.0,0.842787,0.0,4.0,1.0,0
compliance-reference-0184,1.0,2.0,0.22936,1.0,4.0,0.0,1
compliance-reference-0185,1.0,0.0,0.981629,0.0,2.0,0.0,0
compliance-reference-0186,2.0,1.0,0.822497,1.0,1.0,0.0,1
compliance-reference-0187,1.0,1.0,0.551146,0.0,4.0,0.0,0
compliance-reference-0188,1.0,3.0,0.052829,0.0,4.0,0.0,1
compliance-reference-0189,0.0,0.0,0.322521,0.0,3.0,0.0,0
compliance-reference-0190,2.0,2.0,0.013802,0.0,4.0,0.0,1
compliance-reference-0191,1.0,0.0,0.691219,0.0,3.0,0.0,0
compliance-reference-0192,1.0,0.0,0.526625,0.0,2.0,0.0,0
compliance-reference-0193,1.0,3.0,0.166219,0.0,3.0,0.0,0
compliance-reference-0194,0.0,2.0,0.804325,0.0,5.0,0.0,0
compliance-reference-0195,1.0,1.0,0.277644,0.0,2.0,0.0,0
compliance-reference-0196,2.0,2.0,0.764898,1.0,0.0,0.0,1
compliance-reference-0197,0.0,2.0,0.545434,0.0,1.0,0.0,0
compliance-reference-0198,2.0,0.0,0.413748,1.0,2.0,1.0,1
compliance-reference-0199,2.0,1.0,0.768352,0.0,3.0,0.0,1
compliance-reference-0200,2.0,4.0,0.708573,1.0,0.0,0.0,1
compliance-reference-0201,0.0,4.0,0.089744,1.0,1.0,1.0,1
compliance-reference-0202,0.0,3.0,0.971453,1.0,3.0,0.0,1
compliance-reference-0203,0.0,3.0,0.093461,0.0,5.0,1.0,0
compliance-reference-0204,2.0,2.0,0.579044,1.0,0.0,0.0,1
compliance-reference-0205,0.0,1.0,0.506627,0.0,2.0,1.0,0
compliance-reference-0206,0.0,1.0,0.807571,0.0,1.0,0.0,0
compliance-reference-0207,2.0,1.0,0.319219,1.0,3.0,0.0,1
compliance-reference-0208,2.0,2.0,0.228579,0.0,1.0,0.0,1
compliance-reference-0209,1.0,3.0,0.367035,0.0,1.0,0.0,1
compliance-reference-0210,0.0,2.0,0.593407,0.0,0.0,0.0,0
compliance-reference-0211,2.0,4.0,0.919056,0.0,4.0,0.0,1
compliance-reference-0212,1.0,1.0,0.61255,0.0,0.0,0.0,0
compliance-reference-0213,2.0,0.0,0.291085,0.0,1.0,0.0,1
compliance-reference-0214,2.0,4.0,0.696436,0.0,5.0,0.0,1
compliance-reference-0215,0.0,0.0,0.349906,0.0,2.0,0.0,0
compliance-reference-0216,2.0,1.0,0.080729,0.0,0.0,0.0,1
compliance-reference-0217,0.0,0.0,0.673187,1.0,2.0,1.0,0
compliance-reference-0218,1.0,4.0,0.769963,1.0,4.0,0.0,1
compliance-reference-0219,2.0,2.0,0.832949,0.0,4.0,0.0,1
compliance-reference-0220,2.0,2.0,0.120914,0.0,2.0,1.0,1
compliance-reference-0221,1.0,0.0,0.844338,0.0,0.0,1.0,0
compliance-reference-0222,0.0,4.0,0.167941,1.0,2.0,0.0,1
compliance-reference-0223,0.0,1.0,0.606242,0.0,0.0,0.0,0
compliance-reference-0224,2.0,3.0,0.935295,1.0,0.0,0.0,1
compliance-reference-0225,2.0,1.0,0.190608,1.0,3.0,0.0,1
compliance-reference-0226,2.0,3.0,0.741185,0.0,2.0,0.0,1
compliance-reference-0227,2.0,4.0,0.561929,0.0,2.0,0.0,1
compliance-reference-0228,1.0,3.0,0.074652,0.0,2.0,0.0,0
compliance-reference-0229,1.0,3.0,0.519162,1.0,1.0,0.0,1
compliance-reference-0230,0.0,0.0,0.375564,0.0,1.0,0.0,0
compliance-reference-0231,0.0,2.0,0.272838,0.0,2.0,0.0,0
compliance-reference-0232,2.0,0.0,0.583534,0.0,3.0,0.0,1
compliance-reference-0233,0.0,3.0,0.721628,0.0,3.0,0.0,0
compliance-reference-0234,0.0,0.0,0.697833,0.0,4.0,1.0,0
compliance-reference-0235,0.0,0.0,0.466565,1.0,2.0,1.0,0
compliance-reference-0236,2.0,2.0,0.301245,0.0,2.0,0.0,1
compliance-reference-0237,0.0,1.0,0.11303,0.0,1.0,0.0,0
compliance-reference-0238,1.0,4.0,0.618538,0.0,3.0,1.0,1
compliance-reference-0239,0.0,0.0,0.074008,0.0,2.0,0.0,0
compliance-reference-0240,2.0,4.0,0.687918,0.0,4.0,1.0,1
compliance-reference-0241,0.0,1.0,0.357833,0.0,0.0,0.0,0
compliance-reference-0242,1.0,4.0,0.069819,0.0,2.0,0.0,1
compliance-reference-0243,1.0,4.0,0.585825,0.0,1.0,0.0,1
compliance-reference-0244,0.0,4.0,0.592067,0.0,1.0,0.0,0
compliance-reference-0245,1.0,3.0,0.429735,1.0,1.0,0.0,1
compliance-reference-0246,1.0,2.0,0.657869,1.0,5.0,0.0,1
compliance-reference-0247,2.0,0.0,0.494066,0.0,2.0,0.0,1
compliance-reference-0248,2.0,0.0,0.030931,0.0,1.0,1.0,1
compliance-reference-0249,2.0,4.0,0.688993,0.0,4.0,0.0,1
compliance-reference-0250,1.0,2.0,0.192821,0.0,4.0,0.0,1
compliance-reference-0251,0.0,2.0,0.023064,0.0,2.0,0.0,0
compliance-reference-0252,0.0,3.0,0.452212,0.0,1.0,0.0,0
compliance-reference-0253,0.0,0.0,0.383081,0.0,0.0,0.0,0
compliance-reference-0254,1.0,2.0,0.063427,0.0,0.0,0.0,0
compliance-reference-0255,1.0,4.0,0.152974,1.0,4.0,0.0,1
compliance-reference-0256,1.0,2.0,0.823114,0.0,2.0,1.0,1
compliance-reference-0257,0.0,2.0,0.816298,0.0,1.0,0.0,0
compliance-reference-0258,1.0,3.0,0.27919,0.0,0.0,0.0,1
compliance-reference-0259,1.0,3.0,0.538593,0.0,0.0,1.0,1
compliance-reference-0260,2.0,1.0,0.406475,0.0,0.0,1.0,1
compliance-reference-0261,0.0,1.0,0.703767,1.0,2.0,0.0,0
compliance-reference-0262,2.0,1.0,0.228605,0.0,4.0,0.0,1
compliance-reference-0263,0.0,2.0,0.074439,0.0,0.0,0.0,0
compliance-reference-0264,0.0,2.0,0.80641,0.0,5.0,0.0,0
compliance-reference-0265,1.0,1.0,0.262684,0.0,4.0,1.0,1
compliance-reference-0266,1.0,2.0,0.698625,0.0,4.0,0.0,1
compliance-reference-0267,1.0,2.0,0.756219,0.0,1.0,1.0,1
compliance-reference-0268,1.0,2.0,0.404126,0.0,1.0,0.0,0
compliance-reference-0269,2.0,3.0,0.373259,1.0,1.0,0.0,1
compliance-reference-0270,1.0,3.0,0.75397,1.0,0.0,1.0,1
compliance-reference-0271,1.0,3.0,0.718096,0.0,1.0,0.0,1
compliance-reference-0272,0.0,2.0,0.090016,0.0,0.0,1.0,0
compliance-reference-0273,1.0,2.0,0.93028,0.0,5.0,1.0,1
compliance-reference-0274,2.0,1.0,0.057408,1.0,2.0,1.0,1
compliance-reference-0275,0.0,0.0,0.606003,1.0,4.0,1.0,0
compliance-reference-0276,0.0,1.0,0.584213,0.0,4.0,0.0,0
compliance-reference-0277,1.0,2.0,0.16,0.0,3.0,0.0,1
compliance-reference-0278,0.0,2.0,0.60756,1.0,1.0,0.0,0
compliance-reference-0279,1.0,3.0,0.450554,0.0,0.0,0.0,0
compliance-reference-0280,1.0,4.0,0.733876,0.0,1.0,1.0,1
compliance-reference-0281,0.0,3.0,0.508488,0.0,4.0,1.0,1
compliance-reference-0282,0.0,2.0,0.535618,0.0,1.0,1.0,0
compliance-reference-0283,2.0,2.0,0.552666,0.0,4.0,0.0,1
compliance-reference-0284,1.0,0.0,0.928882,0.0,0.0,1.0,1
compliance-reference-0285,1.0,2.0,0.042928,1.0,5.0,0.0,1
compliance-reference-0286,1.0,0.0,0.379534,1.0,4.0,0.0,1
compliance-reference-0287,1.0,1.0,0.38105,0.0,4.0,0.0,0
compliance-reference-0288,0.0,4.0,0.84211,0.0,3.0,0.0,0
compliance-reference-0289,1.0,1.0,0.161586,0.0,2.0,0.0,0
compliance-reference-0290,1.0,3.0,0.155411,1.0,3.0,0.0,1
compliance-reference-0291,1.0,3.0,0.068882,0.0,4.0,0.0,1
compliance-reference-0292,0.0,0.0,0.761918,0.0,3.0,1.0,0
compliance-reference-0293,1.0,1.0,0.081231,0.0,1.0,0.0,0
compliance-reference-0294,2.0,0.0,0.791986,0.0,4.0,0.0,1
compliance-reference-0295,2.0,0.0,0.431766,0.0,4.0,0.0,1
compliance-reference-0296,0.0,4.0,0.351891,0.0,1.0,0.0,0
compliance-reference-0297,1.0,4.0,0.286516,1.0,1.0,1.0,1
compliance-reference-0298,2.0,1.0,0.302774,0.0,4.0,0.0,1
compliance-reference-0299,2.0,0.0,0.752672,0.0,0.0,0.0,1
compliance-reference-0300,1.0,4.0,0.817832,0.0,4.0,0.0,1
compliance-reference-0301,1.0,1.0,0.174709,0.0,2.0,0.0,0
compliance-reference-0302,2.0,0.0,0.506669,0.0,1.0,1.0,1
compliance-reference-0303,2.0,2.0,0.357235,0.0,4.0,1.0,1
compliance-reference-0304,1.0,1.0,0.730649,0.0,0.0,1.0,0
compliance-reference-0305,2.0,0.0,0.335783,1.0,2.0,1.0,1
compliance-reference-0306,1.0,1.0,0.597025,0.0,3.0,1.0,1
compliance-reference-0307,2.0,2.0,0.314041,0.0,0.0,0.0,1
compliance-reference-0308,1.0,2.0,0.760385,0.0,5.0,1.0,1
compliance-reference-0309,1.0,4.0,0.879847,0.0,3.0,0.0,1
compliance-reference-0310,0.0,2.0,0.818737,0.0,0.0,0.0,0
compliance-reference-0311,2.0,0.0,0.096123,1.0,0.0,1.0,1
compliance-reference-0312,1.0,0.0,0.257879,1.0,5.0,0.0,1
compliance-reference-0313,0.0,0.0,0.906468,0.0,0.0,0.0,0
compliance-reference-0314,0.0,3.0,0.970082,0.0,1.0,1.0,0
compliance-reference-0315,2.0,3.0,0.292264,0.0,3.0,0.0,1
compliance-reference-0316,1.0,4.0,0.252556,1.0,1.0,1.0,1
compliance-reference-0317,1.0,3.0,0.587528,0.0,3.0,1.0,1
compliance-reference-0318,0.0,0.0,0.534736,0.0,1.0,0.0,0
compliance-reference-0319,0.0,4.0,0.072402,1.0,2.0,1.0,1
compliance-reference-0320,0.0,1.0,0.025582,1.0,2.0,0.0,0
compliance-reference-0321,0.0,2.0,0.373813,0.0,5.0,0.0,0
compliance-reference-0322,1.0,4.0,0.819756,1.0,3.0,0.0,1
compliance-reference-0323,2.0,0.0,0.128132,0.0,3.0,0.0,1
compliance-reference-0324,2.0,3.0,0.962285,0.0,0.0,0.0,1
compliance-reference-0325,2.0,1.0,0.337624,1.0,4.0,0.0,1
compliance-reference-0326,2.0,4.0,0.275159,0.0,5.0,0.0,1
compliance-reference-0327,2.0,3.0,0.021986,0.0,2.0,0.0,1
compliance-reference-0328,0.0,4.0,0.816595,1.0,0.0,0.0,1
compliance-reference-0329,2.0,0.0,0.660872,0.0,0.0,1.0,1
compliance-reference-0330,1.0,4.0,0.1875,0.0,5.0,0.0,1
compliance-reference-0331,1.0,4.0,0.200986,0.0,4.0,0.0,1
compliance-reference-0332,0.0,4.0,0.417776,0.0,4.0,1.0,1
compliance-reference-0333,1.0,0.0,0.063899,1.0,4.0,1.0,0
compliance-reference-0334,0.0,0.0,0.914781,0.0,2.0,0.0,0
compliance-reference-0335,0.0,3.0,0.857918,0.0,2.0,1.0,0
compliance-reference-0336,2.0,3.0,0.560993,0.0,1.0,0.0,1
compliance-reference-0337,1.0,1.0,0.223426,1.0,0.0,0.0,0
compliance-reference-0338,0.0,3.0,0.022587,0.0,0.0,0.0,0
compliance-reference-0339,1.0,4.0,0.519353,0.0,2.0,0.0,1
compliance-reference-0340,1.0,1.0,0.881788,0.0,1.0,0.0,0
compliance-reference-0341,1.0,4.0,0.207177,0.0,4.0,0.0,1
compliance-reference-0342,1.0,0.0,0.469585,0.0,4.0,0.0,0
compliance-reference-0343,2.0,0.0,0.858575,0.0,5.0,0.0,1
compliance-reference-0344,0.0,0.0,0.188995,1.0,2.0,0.0,0
compliance-reference-0345,0.0,3.0,0.246591,1.0,2.0,1.0,1
compliance-reference-0346,1.0,4.0,0.959011,0.0,1.0,0.0,1
compliance-reference-0347,1.0,3.0,0.305506,0.0,5.0,0.0,1
compliance-reference-0348,2.0,1.0,0.065927,0.0,2.0,0.0,1
compliance-reference-0349,0.0,1.0,0.061698,1.0,4.0,0.0,0
compliance-reference-0350,2.0,2.0,0.777752,0.0,4.0,0.0,1
compliance-reference-0351,2.0,4.0,0.906779,0.0,4.0,1.0,1
compliance-reference-0352,0.0,3.0,0.188201,0.0,0.0,0.0,0
compliance-reference-0353,2.0,4.0,0.90907,0.0,2.0,0.0,1
compliance-reference-0354,2.0,4.0,0.118708,0.0,0.0,0.0,1
compliance-reference-0355,2.0,4.0,0.492886,0.0,1.0,0.0,1
compliance-reference-0356,0.0,1.0,0.479628,0.0,3.0,0.0,0
compliance-reference-0357,0.0,0.0,0.623794,0.0,2.0,1.0,0
compliance-reference-0358,2.0,0.0,0.20494,1.0,1.0,0.0,1
compliance-reference-0359,1.0,1.0,0.167711,0.0,1.0,0.0,0
compliance-reference-0360,2.0,3.0,0.065353,1.0,3.0,0.0,1
compliance-reference-0361,2.0,4.0,0.92015,1.0,4.0,0.0,1
compliance-reference-0362,1.0,4.0,0.083052,0.0,0.0,0.0,1
compliance-reference-0363,2.0,3.0,0.98707,0.0,2.0,0.0,1
compliance-reference-0364,0.0,4.0,0.223955,0.0,3.0,0.0,0
compliance-reference-0365,2.0,3.0,0.834584,0.0,2.0,0.0,1
compliance-reference-0366,0.0,0.0,0.444862,0.0,3.0,0.0,0
compliance-reference-0367,2.0,1.0,0.751408,0.0,5.0,1.0,1
compliance-reference-0368,0.0,4.0,0.226127,0.0,1.0,0.0,0
compliance-reference-0369,0.0,0.0,0.616332,0.0,0.0,0.0,0
compliance-reference-0370,1.0,4.0,0.827327,0.0,4.0,1.0,1
compliance-reference-0371,2.0,2.0,0.947796,0.0,4.0,0.0,1
compliance-reference-0372,0.0,0.0,0.125272,0.0,3.0,0.0,0
compliance-reference-0373,0.0,1.0,0.015078,0.0,3.0,0.0,0
compliance-reference-0374,1.0,0.0,0.999206,0.0,0.0,0.0,0
