sample_id,threat_score,distance_km,speed_mps,asset_value,intel_confidence,priority_label
reference-0053,0.257088,76.011891,16.495519,0.449069,0.731605,low
reference-0054,0.152511,56.666254,53.994495,0.651953,0.616282,low
reference-0055,0.280591,42.518888,274.929551,0.442023,0.52639,medium
reference-0056,0.724016,49.688922,290.382281,0.664487,0.577123,high
reference-0057,0.496678,142.766599,409.131459,0.720199,0.81137,medium
reference-0058,0.249133,7.120702,311.58024,0.989127,0.556238,medium
reference-0059,0.572873,99.537179,140.890305,0.749161,0.754692,medium
reference-0060,0.605857,94.871349,433.959356,0.838314,0.765731,medium
reference-0061,0.408112,12.499804,157.856237,0.788498,0.857463,medium
reference-0062,0.686614,47.993756,224.560841,0.485332,0.700382,medium
reference-0063,0.248112,146.97513,275.288077,0.456897,0.959708,low
reference-0064,0.409935,40.521641,399.316556,0.317393,0.924702,medium
reference-0065,0.623613,145.628193,178.562193,0.679941,0.635043,medium
reference-0066,0.543797,118.921194,187.550844,0.30516,0.831096,medium
reference-0067,0.208913,147.881918,146.634714,0.911267,0.770444,low
reference-0068,0.651048,88.507518,267.017321,0.37001,0.50252,medium
reference-0069,0.10843,24.25435,30.6796,0.77252,0.506487,low
reference-0070,0.664652,136.267177,109.253757,0.400638,0.629483,medium
reference-0071,0.406191,18.496279,413.338143,0.835536,0.716334,high
reference-0072,0.558727,38.163289,49.419862,0.546773,0.513901,medium
reference-0073,0.455399,130.160519,361.139469,0.501816,0.94475,medium
reference-0074,0.460641,80.867799,447.308793,0.036029,0.604007,medium
reference-0075,0.762089,118.523052,381.393375,0.622219,0.589401,medium
reference-0076,0.867686,101.185274,360.76028,0.412509,0.829875,high
reference-0077,0.983746,50.424738,432.244792,0.90975,0.680494,high
reference-0078,0.956615,4.457542,177.162058,0.229228,0.589641,high
reference-0079,0.888314,147.312584,388.843622,0.27504,0.614803,medium
reference-0080,0.659635,40.801392,357.858191,0.376423,0.741848,medium
reference-0081,0.06726,77.525562,197.702861,0.598276,0.714396,low
reference-0082,0.497321,45.774834,261.197442,0.662625,0.797225,medium
reference-0083,0.041744,33.179592,35.813764,0.275644,0.641268,low
reference-0084,0.359866,106.160616,214.658985,0.255832,0.810722,low
reference-0085,0.80438,76.673117,2.4175,0.156932,0.501578,medium
reference-0086,0.743212,64.506876,110.200593,0.234977,0.689018,medium
reference-0087,0.69589,133.115714,169.009579,0.83474,0.66555,medium
reference-0088,0.222197,122.485312,3.961382,0.073629,0.538301,low
reference-0089,0.670484,72.499184,315.445091,0.639145,0.772464,medium
reference-0090,0.227879,89.585432,287.163074,0.172873,0.969202,low
reference-0091,0.284934,127.437905,181.546692,0.07513,0.620577,low
reference-0092,0.440179,59.919314,369.435995,0.110442,0.981162,medium
reference-0093,0.76258,63.898282,309.841458,0.518782,0.716123,high
reference-0094,0.836939,109.74615,266.55894,0.98057,0.623255,high
reference-0095,0.05285,12.552038,50.588292,0.810685,0.71646,low
reference-0096,0.162701,121.540305,48.530356,0.64597,0.989554,low
reference-0097,0.825497,107.497294,163.496772,0.976669,0.618811,medium
reference-0098,0.977291,97.2028,139.477541,0.446546,0.999719,high
reference-0099,0.484661,6.595822,351.733199,0.426309,0.948329,medium
reference-0100,0.854104,51.61048,99.082719,0.919592,0.628438,high
reference-0101,0.590841,2.329919,387.929864,0.116947,0.502195,medium
reference-0102,0.844539,14.723135,87.444301,0.4632,0.784616,high
reference-0103,0.65764,88.424998,21.34367,0.856168,0.84466,medium
reference-0104,0.858489,121.064334,340.909518,0.709532,0.8629,high
reference-0105,0.577554,67.599607,251.31231,0.667497,0.834871,medium
reference-0106,0.764699,76.052479,31.896039,0.095761,0.937478,medium
reference-0107,0.162445,121.453713,274.253804,0.730868,0.739686,low
reference-0108,0.59091,47.213788,19.829136,0.017517,0.902726,medium
reference-0109,0.922341,32.50637,3.8156,0.030533,0.796454,medium
reference-0110,0.736639,110.018404,85.622019,0.055285,0.774972,medium
reference-0111,0.139644,101.930137,165.564912,0.935997,0.733494,low
reference-0112,0.094531,18.815875,107.487769,0.985297,0.840859,medium
reference-0113,0.890809,70.619914,12.489161,0.714706,0.660776,medium
reference-0114,0.692771,111.168082,211.674287,0.978311,0.568235,medium
reference-0115,0.260276,96.546259,177.379511,0.925493,0.944654,medium
reference-0116,0.547979,98.287669,49.188096,0.646221,0.663825,medium
reference-0117,0.397758,54.470715,361.404938,0.495783,0.788538,medium
reference-0118,0.830061,28.77754,253.994305,0.887314,0.657884,high
reference-0119,0.736323,135.809947,61.417207,0.565365,0.777041,medium
reference-0120,0.951885,12.10903,0.532694,0.587348,0.614727,high
reference-0121,0.426253,121.045107,265.916653,0.630763,0.558118,medium
reference-0122,0.691221,18.644051,389.009964,0.293183,0.773106,high
reference-0123,0.167825,1.137169,408.266671,0.313255,0.619087,medium
reference-0124,0.315712,26.583103,306.73539,0.883337,0.768431,medium
reference-0125,0.920646,53.218531,203.465572,0.012837,0.57495,medium
reference-0126,0.728931,30.858714,183.180301,0.974871,0.890012,high
reference-0127,0.659558,69.262283,265.441769,0.043358,0.828867,medium
reference-0128,0.355493,36.112073,194.716767,0.274682,0.525789,medium
reference-0129,0.157569,88.238104,200.761599,0.816279,0.686767,low
reference-0130,0.273012,134.044006,402.758036,0.749928,0.895656,medium
reference-0131,0.967998,72.795978,65.993757,0.036895,0.733979,medium
reference-0132,0.214535,115.498472,344.329197,0.648539,0.766741,low
reference-0133,0.867899,14.472733,116.784176,0.102675,0.890865,high
reference-0134,0.140191,126.34113,296.807539,0.517653,0.629956,low
reference-0135,0.636053,79.084992,263.621785,0.240359,0.734364,medium
reference-0136,0.7125,5.474515,333.083429,0.229148,0.686158,high
reference-0137,0.863117,74.923623,64.202736,0.060593,0.530791,medium
reference-0138,0.048932,134.950272,414.536969,0.056561,0.740225,low
reference-0139,0.661181,105.138242,106.748517,0.008718,0.687256,medium
reference-0140,0.603461,136.89306,60.079256,0.942157,0.960813,medium
reference-0141,0.844632,4.774795,159.064463,0.329292,0.704727,high
reference-0142,0.916665,40.167376,313.259187,0.864244,0.577809,high
reference-0143,0.292287,42.179733,206.832198,0.225433,0.974857,medium
reference-0144,0.940309,53.49623,158.705734,0.517867,0.96619,high
reference-0145,0.512085,89.938913,88.186657,0.477171,0.819485,medium
reference-0146,0.259771,18.162357,150.333062,0.270785,0.767859,medium
reference-0147,0.505572,22.422927,184.451357,0.742426,0.992663,medium
reference-0148,0.39416,17.207188,3.340423,0.905212,0.629039,medium
reference-0149,0.686911,122.279285,79.299434,0.125532,0.789088,medium
reference-0150,0.877342,9.331136,218.439969,0.374165,0.916824,high
reference-0151,0.104355,119.588791,14.366831,0.657055,0.919829,low
reference-0152,0.414446,68.786736,435.600341,0.088189,0.697708,medium
reference-0153,0.926464,128.647124,162.111447,0.080634,0.881949,medium
reference-0154,0.701991,32.317455,68.472598,0.302186,0.714268,medium
reference-0155,0.696905,79.096188,340.97509,0.390387,0.855259,medium
reference-0156,0.137346,112.153969,226.814473,0.552592,0.631901,low
reference-0157,0.067402,18.46348,352.062298,0.871664,0.97378,medium
reference-0158,0.655177,94.170255,120.16736,0.460602,0.515004,medium
reference-0159,0.491804,71.632964,397.95001,0.021627,0.691351,medium
reference-0160,0.204483,87.397505,276.201178,0.247583,0.53925,low
reference-0161,0.65968,72.293891,314.700437,0.162387,0.584664,medium
reference-0162,0.822602,136.10802,280.296463,0.423645,0.951044,medium
reference-0163,0.683829,18.428027,350.093661,0.605114,0.501605,high
reference-0164,0.702511,139.553876,103.47462,0.613622,0.942114,medium
reference-0165,0.836709,63.067435,135.000716,0.3694,0.751535,medium
reference-0166,0.53092,68.948549,163.445555,0.372721,0.569321,medium
reference-0167,0.137744,2.795109,391.681927,0.139837,0.722215,medium
reference-0168,0.926657,73.333723,382.091063,0.338592,0.501763,high
reference-0169,0.922266,91.511067,55.173917,0.075062,0.634447,medium
reference-0170,0.048949,98.688771,89.833744,0.728296,0.887929,low
reference-0171,0.027371,7.455977,170.371885,0.705399,0.783242,medium
reference-0172,0.5936,148.241546,103.490551,0.26169,0.8227,low
reference-0173,0.204808,111.149608,276.185146,0.613835,0.694582,low
reference-0174,0.383895,31.159856,276.459973,0.552716,0.573199,medium
reference-0175,0.542093,36.16132,241.895195,0.485684,0.578548,medium
reference-0176,0.036866,99.004523,395.948186,0.839055,0.969742,low
reference-0177,0.606688,69.739648,145.908094,0.884772,0.813741,medium
reference-0178,0.058757,110.158831,247.310313,0.298057,0.752457,low
reference-0179,0.543042,149.35164,132.93605,0.01788,0.673742,low
reference-0180,0.978483,115.120612,149.783171,0.500291,0.905574,high
reference-0181,0.068675,70.339974,344.889208,0.931454,0.616293,medium
reference-0182,0.735156,110.220882,114.219967,0.202355,0.804907,medium
reference-0183,0.509865,12.451216,39.117801,0.819373,0.927067,medium
reference-0184,0.610063,54.331259,265.885618,0.336146,0.934178,medium
reference-0185,0.288168,127.950354,79.690903,0.509582,0.656839,low
reference-0186,0.8026,149.93187,239.188512,0.310911,0.865673,medium
reference-0187,0.166184,121.864086,69.757739,0.363289,0.504252,low
reference-0188,0.981796,120.678668,184.71618,0.247181,0.777042,medium
reference-0189,0.641279,103.363042,30.19888,0.426743,0.776251,medium
reference-0190,0.338512,87.640945,375.850368,0.848192,0.54403,medium
reference-0191,0.625166,117.374975,36.289099,0.711861,0.924125,medium
reference-0192,0.584094,74.374799,108.905315,0.840646,0.991465,medium
reference-0193,0.803522,13.089735,299.800671,0.635983,0.752663,high
reference-0194,0.795029,124.89979,393.506055,0.189038,0.553032,medium
reference-0195,0.61796,93.785938,444.852307,0.345231,0.547919,medium
reference-0196,0.561351,71.464407,178.75277,0.711446,0.604318,medium
reference-0197,0.96578,110.525021,277.487291,0.351502,0.847004,high
reference-0198,0.161933,39.266574,231.080923,0.873757,0.773352,medium
reference-0199,0.06324,50.941948,220.994495,0.900138,0.820537,medium
reference-0200,0.723591,49.97626,379.027251,0.459211,0.572792,high
reference-0201,0.088934,84.672466,4.50761,0.904095,0.63608,low
reference-0202,0.399625,99.516547,388.970626,0.304064,0.802272,medium
reference-0203,0.449663,86.496063,188.134177,0.528841,0.780706,medium
reference-0204,0.391485,84.799437,178.479008,0.086892,0.962787,low
reference-0205,0.652357,106.008915,320.669463,0.338739,0.973302,medium
reference-0206,0.808115,48.411523,151.560124,0.958842,0.582968,high
reference-0207,0.642067,108.91805,179.072504,0.188339,0.609367,medium
reference-0208,0.399402,5.922601,224.028758,0.816059,0.612161,medium
reference-0209,0.186673,22.064151,113.612272,0.71761,0.885577,medium
reference-0210,0.965169,111.726083,382.979001,0.91248,0.649657,high
reference-0211,0.84091,88.361517,150.398333,0.244036,0.672852,medium
reference-0212,0.925452,63.225914,380.923116,0.673628,0.671217,high
reference-0213,0.274895,4.010746,166.372065,0.02939,0.837223,medium
reference-0214,0.818317,14.430518,246.259422,0.399647,0.946672,high
reference-0215,0.815825,112.444172,14.355131,0.818229,0.560611,medium
reference-0216,0.915388,44.655913,161.421171,0.945762,0.732404,high
reference-0217,0.959071,94.508833,103.958685,0.973072,0.81511,high
reference-0218,0.367481,73.637978,392.306037,0.983038,0.590849,medium
reference-0219,0.905454,132.882568,361.487528,0.087763,0.809195,medium
reference-0220,0.165553,128.996799,369.900281,0.32676,0.548242,low
reference-0221,0.963393,11.910132,150.519542,0.4046,0.757731,high
reference-0222,0.936524,119.043132,398.513459,0.590991,0.768909,high
reference-0223,0.182358,69.090393,104.812068,0.586134,0.841771,low
reference-0224,0.91855,65.689734,273.716816,0.433833,0.822642,high
reference-0225,0.296967,43.793423,443.996188,0.791046,0.594606,medium
reference-0226,0.104183,6.311164,40.722659,0.235668,0.871145,low
reference-0227,0.398873,36.633347,66.173195,0.396028,0.925059,medium
reference-0228,0.719529,79.148359,361.039571,0.464054,0.515229,medium
reference-0229,0.825761,146.266058,113.577347,0.84444,0.954387,medium
reference-0230,0.103577,23.342747,187.019231,0.059937,0.7959,low
reference-0231,0.270508,50.619896,239.383379,0.183554,0.608965,low
reference-0232,0.945108,10.271644,151.397593,0.786209,0.871796,high
reference-0233,0.213198,109.738665,219.006282,0.017064,0.581617,low
reference-0234,0.770159,145.473109,76.486739,0.637124,0.794324,medium
reference-0235,0.600794,27.25888,123.729148,0.147391,0.595507,medium
reference-0236,0.039219,46.491171,6.713793,0.248079,0.624893,low
reference-0237,0.148425,5.769377,362.669546,0.654686,0.875711,medium
reference-0238,0.969185,51.642669,396.379847,0.024404,0.802236,high
reference-0239,0.022741,117.749488,222.546229,0.074947,0.87732,low
reference-0240,0.383427,95.75472,73.788527,0.179331,0.641883,low
reference-0241,0.34618,16.109383,311.235357,0.975228,0.825821,medium
reference-0242,0.426798,63.520709,75.950293,0.326107,0.553791,low
reference-0243,0.236384,61.994384,318.126382,0.793715,0.558535,medium
reference-0244,0.646252,46.601069,338.801457,0.664737,0.556076,high
reference-0245,0.647672,114.70292,148.302687,0.508621,0.972805,medium
reference-0246,0.521116,4.637201,396.541487,0.394152,0.577271,medium
reference-0247,0.791688,60.236611,389.678507,0.051075,0.601735,medium
reference-0248,0.213188,92.993861,87.829211,0.938663,0.720797,low
reference-0249,0.785598,114.636478,43.018203,0.165175,0.792024,medium
reference-0250,0.035384,148.596025,327.872679,0.166546,0.625655,low
reference-0251,0.229529,92.300595,46.767866,0.841417,0.61711,low
reference-0252,0.613936,89.80987,29.571057,0.665679,0.635593,medium
reference-0253,0.803732,52.672366,73.351857,0.317163,0.897915,medium
reference-0254,0.339696,48.048297,361.396323,0.592247,0.889629,medium
reference-0255,0.543189,43.739944,310.284851,0.747703,0.727474,medium
reference-0256,0.896177,43.394911,83.01651,0.322812,0.634122,medium
reference-0257,0.774234,103.657567,61.551185,0.771346,0.758906,medium
reference-0258,0.32066,8.557628,112.514347,0.598091,0.648532,medium
reference-0259,0.81846,25.692093,386.100075,0.089356,0.76323,high
reference-0260,0.810053,84.355384,230.16709,0.268362,0.666911,medium
reference-0261,0.422394,141.853287,129.271596,0.139012,0.783136,low
reference-0262,0.814877,119.112673,132.782293,0.124899,0.56405,medium
reference-0263,0.828927,61.632602,121.046524,0.346513,0.839788,medium
reference-0264,0.856693,59.779467,131.646207,0.893541,0.769945,high
reference-0265,0.555116,86.591484,57.103215,0.059192,0.840493,low
reference-0266,0.594585,130.784922,258.128524,0.28561,0.738409,medium
reference-0267,0.599181,12.40743,229.791371,0.246311,0.986862,medium
reference-0268,0.503787,41.324738,25.723417,0.149997,0.86631,medium
reference-0269,0.334686,65.147822,73.303569,0.406187,0.795455,low
reference-0270,0.39707,75.664184,82.713993,0.72303,0.52944,medium
reference-0271,0.615507,130.730602,75.155434,0.42443,0.733579,medium
reference-0272,0.969314,67.889308,288.957543,0.760189,0.842197,high
reference-0273,0.170287,28.94463,293.830299,0.165097,0.835794,low
reference-0274,0.932602,38.513681,375.525349,0.592643,0.51643,high
reference-0275,0.203402,125.249962,353.710856,0.237067,0.555736,low
reference-0276,0.313901,99.324759,416.483643,0.064781,0.952461,low
reference-0277,0.521505,67.082794,396.298232,0.59814,0.8334,medium
reference-0278,0.026591,58.284214,429.723676,0.687889,0.511137,low
reference-0279,0.884589,110.135791,272.607545,0.824059,0.925555,high
reference-0280,0.865162,6.222211,23.88296,0.022063,0.691541,medium
reference-0281,0.389848,59.860505,232.618196,0.717672,0.619664,medium
reference-0282,0.918636,100.641851,430.555929,0.661375,0.518376,high
reference-0283,0.042507,149.258646,434.297034,0.302788,0.98657,low
reference-0284,0.899845,113.641127,444.92719,0.040686,0.789177,medium
reference-0285,0.587511,95.806028,347.318996,0.454992,0.941386,medium
reference-0286,0.933235,73.360203,369.451506,0.856801,0.501638,high
reference-0287,0.692079,29.329023,415.07796,0.492025,0.516092,high
reference-0288,0.966371,79.635723,210.067025,0.914391,0.924746,high
reference-0289,0.473043,18.867504,96.883345,0.082698,0.543513,medium
reference-0290,0.949649,38.856109,399.260919,0.873702,0.619364,high
reference-0291,0.854232,34.83107,121.206402,0.107424,0.719711,medium
reference-0292,0.540455,71.608956,397.804396,0.28962,0.994518,medium
reference-0293,0.503466,12.987885,32.190421,0.973066,0.529173,medium
reference-0294,0.686219,17.21354,260.286651,0.644293,0.751698,high
reference-0295,0.338334,66.520306,315.583991,0.41339,0.892691,medium
reference-0296,0.683553,63.242179,395.091408,0.966016,0.615259,high
reference-0297,0.928983,93.152473,220.123194,0.098198,0.628781,medium
reference-0298,0.472231,13.693641,233.701308,0.496898,0.864821,medium
reference-0299,0.65161,146.858918,78.878717,0.694188,0.957308,medium
reference-0300,0.983936,68.180092,100.697312,0.662319,0.893086,high
reference-0301,0.30451,130.067027,358.734672,0.897125,0.957787,medium
reference-0302,0.439596,32.344349,257.221213,0.213529,0.786817,medium
reference-0303,0.953401,9.404676,118.942335,0.415305,0.510228,high
reference-0304,0.027806,96.708377,322.744946,0.824266,0.528611,low
reference-0305,0.427149,26.67006,130.733428,0.137897,0.59777,medium
reference-0306,0.022821,111.566089,59.244023,0.06819,0.909745,low
reference-0307,0.493359,59.650707,421.408646,0.02816,0.917157,medium
reference-0308,0.101105,101.82104,194.035217,0.265096,0.607319,low
reference-0309,0.782456,63.780705,303.656072,0.662809,0.606847,high
reference-0310,0.03582,81.363215,370.990675,0.158682,0.953851,low
reference-0311,0.562973,55.620853,365.233605,0.685609,0.527875,medium
reference-0312,0.474843,44.571446,339.796305,0.355226,0.649467,medium
reference-0313,0.239538,99.28744,26.425755,0.014635,0.620266,low
reference-0314,0.399612,134.795831,389.119413,0.615558,0.72539,medium
reference-0315,0.659553,60.036138,81.657519,0.301211,0.734971,medium
reference-0316,0.058256,134.267914,68.773867,0.14676,0.71138,low
reference-0317,0.678243,54.06472,324.687123,0.288954,0.606472,medium
reference-0318,0.6797,98.112523,271.523589,0.979856,0.618781,medium
reference-0319,0.182116,136.512361,294.608063,0.743213,0.598425,low
reference-0320,0.16373,63.155078,364.249212,0.91703,0.648006,medium
reference-0321,0.45699,52.871393,73.400861,0.665453,0.973733,medium
reference-0322,0.960274,107.470187,333.256666,0.567631,0.536279,high
reference-0323,0.12126,43.921837,200.606784,0.498506,0.843943,low
reference-0324,0.120302,66.555004,165.332336,0.332034,0.789668,low
reference-0325,0.413389,94.514508,147.963716,0.533487,0.898179,medium
reference-0326,0.531202,18.304792,73.170399,0.37375,0.926219,medium
reference-0327,0.58008,67.97012,80.307459,0.269842,0.665436,medium
reference-0328,0.767099,87.833482,261.254721,0.465789,0.860634,medium
reference-0329,0.37323,19.625985,167.539732,0.200108,0.73264,medium
reference-0330,0.618178,89.126161,216.979825,0.020075,0.606896,medium
reference-0331,0.170987,109.614961,316.776371,0.87259,0.646079,low
reference-0332,0.023655,30.849,449.537819,0.096813,0.669635,low
reference-0333,0.906757,128.804864,67.533129,0.433537,0.586501,medium
reference-0334,0.125022,127.613585,172.911064,0.51253,0.828327,low
reference-0335,0.481653,130.536606,284.669289,0.344136,0.821817,medium
reference-0336,0.803009,77.872061,408.072742,0.967334,0.933963,high
reference-0337,0.6333,61.802281,112.563055,0.477867,0.793708,medium
reference-0338,0.642217,57.841791,116.427001,0.022375,0.968585,medium
reference-0339,0.989993,145.924074,128.147226,0.592947,0.836068,medium
reference-0340,0.700487,87.20447,74.463712,0.935038,0.998013,medium
reference-0341,0.31308,115.156,109.934181,0.555275,0.930246,low
reference-0342,0.118045,54.682132,275.5197,0.817891,0.986627,medium
reference-0343,0.193387,79.4774,265.270297,0.481565,0.611286,low
reference-0344,0.791511,13.571106,218.919162,0.037714,0.694095,medium
reference-0345,0.096629,33.770288,326.602022,0.000431,0.613104,low
reference-0346,0.236949,20.577671,396.414086,0.674111,0.651803,medium
reference-0347,0.884823,101.360181,315.362004,0.03704,0.790626,medium
reference-0348,0.086183,142.626505,244.042479,0.671077,0.684839,low
reference-0349,0.8135,135.896483,127.299796,0.625324,0.672238,medium
reference-0350,0.845549,46.206092,314.107771,0.918941,0.581693,high
reference-0351,0.756616,35.084915,77.993792,0.895801,0.686233,high
reference-0352,0.363272,93.847226,58.876884,0.941189,0.558228,medium
reference-0353,0.260132,107.514677,206.1255,0.411011,0.566239,low
reference-0354,0.100009,111.298971,210.926008,0.158467,0.730855,low
reference-0355,0.959975,55.150908,423.711286,0.44097,0.870242,high
reference-0356,0.948807,93.357397,126.4146,0.434175,0.527891,medium
reference-0357,0.977433,42.251005,147.533169,0.362369,0.890655,high
reference-0358,0.752035,5.668135,105.952905,0.606256,0.510528,high
reference-0359,0.811041,99.617689,55.055271,0.059817,0.749829,medium
reference-0360,0.669265,116.011288,239.281055,0.621415,0.786449,medium
