sample_id,radar_activity,communication_intensity,movement_consistency,weapon_signature,proximity_score,intent_label
hostile-0145,0.696135,0.490004,0.499816,1.0,0.819081,hostile
benign-0074,0.266706,0.494048,0.671374,0.261358,0.473591,benign
surveillance-0145,0.840304,0.456009,0.58928,0.6566,0.414192,surveillance
surveillance-0046,0.535847,0.445941,0.722123,0.234071,0.551993,surveillance
surveillance-0120,0.665677,0.441057,0.534655,0.251363,0.777368,surveillance
surveillance-0128,0.737011,0.38396,0.513361,0.447968,0.633109,surveillance
surveillance-0010,0.287725,0.455603,0.82884,0.281597,0.459455,surveillance
benign-0137,0.02958,0.209108,0.821275,0.180698,0.086745,benign
hostile-0104,0.83409,0.660441,0.488732,0.784752,0.563329,hostile
benign-0093,0.069787,0.483604,0.738314,0.248147,0.3825,benign
surveillance-0075,0.410738,0.610806,0.864354,0.333362,0.386169,surveillance
hostile-0039,0.833845,0.914591,0.688468,0.511885,0.837698,hostile
hostile-0150,0.754297,0.692084,0.493367,1.0,0.973926,hostile
benign-0027,0.378753,0.410227,0.848832,0.0,0.763339,benign
hostile-0135,0.804079,0.564647,0.340622,0.584758,0.628568,hostile
hostile-0094,1.0,0.386103,0.736092,1.0,0.623289,hostile
surveillance-0138,0.473029,0.692567,0.672293,0.522268,0.623957,surveillance
hostile-0134,0.81188,0.905975,0.38596,0.801714,0.774557,hostile
benign-0017,0.327446,0.068395,0.81259,0.038999,0.425598,benign
benign-0051,0.156901,0.663083,0.744774,0.201432,0.560303,benign
benign-0124,0.161137,0.614923,0.669919,0.015937,0.260895,benign
surveillance-0021,0.617331,0.678272,0.686185,0.64075,0.426877,surveillance
surveillance-0006,0.579345,0.647655,0.764767,0.0,0.426419,surveillance
benign-0065,0.24309,0.326873,0.617775,0.13915,0.531247,benign
benign-0049,0.013489,0.428803,0.786988,0.037018,0.107901,benign
benign-0040,0.41186,0.298717,0.975642,0.332585,0.580609,benign
benign-0010,0.554618,0.330999,0.615385,0.172562,0.256966,benign
surveillance-0064,0.677192,0.541692,0.875806,0.339456,0.514908,surveillance
hostile-0017,0.986203,0.834141,0.499407,0.905229,0.779831,hostile
surveillance-0092,0.655536,0.387482,0.353357,0.554907,0.432752,surveillance
benign-0177,0.175596,0.080161,0.958758,0.0,0.185283,benign
surveillance-0150,0.547742,0.727353,0.571157,0.417001,0.719227,surveillance
benign-0088,0.0,0.297999,0.845472,0.174844,0.301721,benign
benign-0079,0.434479,0.214671,0.513312,0.243066,0.367831,benign
surveillance-0063,0.776367,0.532128,0.462166,0.243431,0.570137,surveillance
hostile-0057,0.73356,0.623461,0.436518,0.809925,0.803054,hostile
hostile-0035,0.836441,0.974253,0.572134,0.900065,0.635447,hostile
hostile-0075,0.675646,0.748525,0.653318,0.658681,0.960058,hostile
surveillance-0106,0.596067,0.740479,0.578191,0.385271,0.427048,surveillance
hostile-0078,0.777472,0.666713,0.359767,0.796684,0.93049,hostile
hostile-0169,0.809245,0.755982,0.618759,0.971306,1.0,hostile
hostile-0003,0.624576,0.784481,0.324849,1.0,0.424458,hostile
hostile-0099,0.984164,0.884529,0.338109,0.88852,0.611205,hostile
hostile-0051,0.779298,0.744654,0.232817,0.761525,0.707036,hostile
hostile-0036,0.712856,0.467101,0.394305,0.492558,0.757496,hostile
benign-0046,0.348437,0.0,0.745875,0.078373,0.29103,benign
benign-0102,0.148124,0.265185,0.764552,0.037275,0.284354,benign
hostile-0056,0.579347,0.818302,0.5992,0.7258,0.681245,hostile
surveillance-0177,0.669623,0.647142,0.75469,0.244307,0.572953,surveillance
surveillance-0069,0.569268,0.591875,0.661819,0.392271,0.88749,surveillance
surveillance-0170,0.894255,0.782604,0.742283,0.219296,0.457565,surveillance
surveillance-0085,0.917669,0.3459,0.555744,0.601856,0.35512,surveillance
benign-0142,0.315593,0.260417,1.0,0.116221,0.678481,benign
benign-0045,0.397794,0.658125,0.785404,0.129213,0.248493,benign
hostile-0156,0.905562,0.597457,0.559794,0.55222,0.664424,hostile
hostile-0037,0.87608,0.608131,0.608386,0.83062,0.5548,hostile
surveillance-0155,0.558433,0.618955,0.578904,0.409604,0.45249,surveillance
surveillance-0132,0.755214,0.430439,0.553484,0.295316,0.547706,surveillance
surveillance-0066,0.795605,0.584277,0.922712,0.138445,0.583622,surveillance
hostile-0124,0.856907,0.581792,0.517076,0.810428,0.852128,hostile
benign-0043,0.117966,0.074411,1.0,0.374466,0.384325,benign
hostile-0015,0.456608,0.269072,0.320062,0.816057,0.733747,hostile
hostile-0111,0.686331,0.624087,0.340874,0.80557,0.81158,hostile
benign-0054,0.091138,0.037537,0.753221,0.233368,0.144816,benign
hostile-0144,1.0,0.484021,0.170749,0.495434,0.690587,hostile
hostile-0020,0.688247,0.724671,0.462847,0.934926,0.772153,hostile
hostile-0125,1.0,0.511706,0.321854,0.844525,0.971237,hostile
hostile-0021,0.691798,0.55954,0.203217,0.952602,0.610616,hostile
hostile-0155,0.946746,0.91829,0.4784,0.692476,0.573914,hostile
hostile-0067,0.700814,0.548616,0.256984,0.941352,0.61423,hostile
benign-0061,0.246266,0.497416,0.589016,0.233528,0.257623,benign
surveillance-0157,0.325528,0.736402,0.582302,0.386445,0.431985,surveillance
surveillance-0080,0.456459,0.733631,0.519786,0.400722,0.197206,surveillance
hostile-0165,0.79651,0.616961,0.427173,0.859953,0.734487,hostile
surveillance-0113,0.627729,0.373361,0.704276,0.217785,0.630156,surveillance
benign-0001,0.088822,0.51436,0.82839,0.10034,0.105171,benign
surveillance-0007,0.458042,0.807791,0.584479,0.162547,0.702079,surveillance
surveillance-0077,0.602732,0.72153,0.46282,0.260883,0.476918,surveillance
benign-0097,0.117295,0.258474,0.901494,0.160122,0.440636,benign
surveillance-0160,0.375118,0.778438,0.581377,0.47364,0.254847,surveillance
hostile-0176,0.823464,0.745324,0.155174,0.731888,0.838617,hostile
surveillance-0119,0.650348,0.64914,0.636101,0.208072,0.698251,surveillance
surveillance-0097,0.437799,0.501186,0.629981,0.314693,0.648423,surveillance
surveillance-0161,0.714086,0.471757,0.70142,0.485863,0.559174,surveillance
hostile-0161,0.81719,1.0,0.221958,0.915984,0.673294,hostile
hostile-0098,0.783725,0.539013,0.323503,0.755781,1.0,hostile
surveillance-0061,0.676609,0.295294,0.752263,0.593495,0.599897,surveillance
hostile-0100,0.620916,0.864842,0.555554,0.651243,0.671767,hostile
hostile-0013,0.570023,0.539756,0.588685,0.777617,0.865186,hostile
surveillance-0116,0.726962,0.245754,0.403737,0.342652,0.91239,surveillance
hostile-0058,0.885717,0.502064,0.411847,0.775746,0.63045,hostile
benign-0151,0.080868,0.157716,0.854638,0.17047,0.322393,benign
surveillance-0142,0.538242,0.307635,0.490708,0.306205,0.354911,surveillance
benign-0086,0.010238,0.184413,0.998932,0.333939,0.103912,benign
hostile-0071,0.74059,0.839035,0.305364,0.78899,0.584796,hostile
benign-0038,0.217246,0.411351,0.825542,0.261793,0.189756,benign
surveillance-0108,0.583215,0.770179,0.428141,0.534531,0.648244,surveillance
surveillance-0026,0.468885,0.714791,0.571543,0.44281,0.599289,surveillance
benign-0092,0.021779,0.318652,0.781896,0.268334,0.239457,benign
hostile-0025,0.485002,0.751666,0.739097,0.813758,0.980459,hostile
benign-0162,0.429973,0.0,1.0,0.268866,0.326784,benign
hostile-0139,0.620078,1.0,0.437248,0.902271,0.543098,hostile
hostile-0032,0.768877,0.899569,0.377864,0.768892,0.894353,hostile
benign-0036,0.510049,0.486978,0.86764,0.04962,0.571716,benign
benign-0106,0.0,0.358537,0.868347,0.121263,0.3934,benign
benign-0139,0.42665,0.475724,0.760384,0.122518,0.444748,benign
hostile-0175,0.665251,1.0,0.573228,0.862134,0.533116,hostile
surveillance-0041,0.555615,0.454251,0.74725,0.411553,0.346976,surveillance
hostile-0096,0.961648,0.885721,0.636826,0.740428,0.794164,hostile
surveillance-0013,0.677535,0.457089,0.681463,0.303338,0.69819,surveillance
hostile-0163,0.886471,0.767548,0.403662,1.0,0.479805,hostile
surveillance-0053,0.468851,0.540517,0.671273,0.537254,0.641815,surveillance
benign-0147,0.282561,0.32835,0.879275,0.309967,0.469007,benign
benign-0140,0.077284,0.192323,0.982149,0.132226,0.595266,benign
benign-0123,0.253287,0.344212,0.639971,0.184691,0.297698,benign
benign-0164,0.299208,0.240541,0.707557,0.0,0.281675,benign
surveillance-0158,0.784492,0.31313,0.499164,0.264401,0.578406,surveillance
surveillance-0005,0.465821,0.748481,0.533467,0.337565,0.692654,surveillance
hostile-0064,0.662265,0.848146,0.5085,0.693177,0.742579,hostile
benign-0175,0.27097,0.309321,0.757641,0.088483,0.286791,benign
surveillance-0109,0.570963,0.640571,0.65728,0.179313,0.671569,surveillance
benign-0110,0.327228,0.277359,0.656263,0.088901,0.207566,benign
hostile-0113,0.786119,0.877524,0.345909,0.609168,0.56698,hostile
hostile-0082,0.83146,0.692697,0.25826,0.709708,0.711513,hostile
hostile-0136,0.566222,0.613055,0.604716,0.860511,0.733908,hostile
hostile-0109,1.0,0.554288,0.327694,0.933215,0.832139,hostile
hostile-0180,0.938698,0.903462,0.446679,0.96774,0.715224,hostile
benign-0135,0.251362,0.581903,0.546611,0.129362,0.584308,benign
surveillance-0029,0.528399,0.674304,0.773699,0.451775,0.542747,surveillance
benign-0118,0.138128,0.246964,0.95445,0.300252,0.097878,benign
benign-0180,0.17766,0.341329,0.640266,0.169551,0.093549,benign
benign-0084,0.233843,0.026928,0.798336,0.26552,0.231373,benign
benign-0075,0.217776,0.062026,0.751611,0.0,0.374496,benign
surveillance-0068,0.499521,0.53325,0.629428,0.123566,0.588742,surveillance
hostile-0132,0.564526,0.602748,0.512823,0.729586,1.0,hostile
hostile-0146,0.797256,1.0,0.333592,0.751603,0.933276,hostile
surveillance-0028,0.280286,0.365142,0.655524,0.373613,0.538617,surveillance
hostile-0080,0.913843,0.710064,0.624537,0.633436,0.764936,hostile
surveillance-0078,0.292073,0.684762,0.535926,0.311894,0.517998,surveillance
benign-0050,0.109931,0.037731,0.654256,0.101601,0.300654,benign
benign-0143,0.041542,0.232999,0.770773,0.150762,0.424956,benign
hostile-0093,0.737572,0.7853,0.617125,0.629525,0.717501,hostile
hostile-0154,0.917903,0.832944,0.570169,0.76652,0.81658,hostile
surveillance-0071,0.777237,0.600442,0.564564,0.283185,0.562339,surveillance
benign-0167,0.213968,0.185433,0.934814,0.225359,0.602836,benign
hostile-0101,0.766623,0.356733,0.548298,1.0,0.749598,hostile
benign-0115,0.308413,0.340158,0.7807,0.313435,0.334108,benign
hostile-0122,0.870541,0.720277,0.595458,0.942216,0.716697,hostile
surveillance-0016,0.77398,0.62785,0.523009,0.464133,0.513523,surveillance
hostile-0130,0.777386,0.78644,0.78258,0.734194,0.714554,hostile
surveillance-0014,0.443493,0.824479,0.746576,0.194833,0.37473,surveillance
surveillance-0017,0.58238,0.618528,0.77363,0.512314,0.332017,surveillance
hostile-0105,0.667011,0.86445,0.421396,0.863081,0.902339,hostile
hostile-0029,0.902306,0.61629,0.149322,0.660015,0.664049,hostile
surveillance-0070,0.732301,0.401593,0.683711,0.469977,0.561824,surveillance
surveillance-0027,1.0,0.502237,0.507216,0.249613,0.613945,surveillance
surveillance-0123,0.469858,0.280546,0.616869,0.290226,0.643437,surveillance
surveillance-0102,0.703613,0.680411,0.667708,0.388764,0.828345,surveillance
surveillance-0153,0.615127,0.614406,0.931848,0.352594,0.430043,surveillance
surveillance-0031,0.806487,0.759546,0.649142,0.541676,0.632347,surveillance
hostile-0164,0.804399,0.807578,0.454455,0.603397,0.694455,hostile
hostile-0090,0.871112,0.732153,0.748273,0.872338,0.69769,hostile
hostile-0053,0.994923,1.0,0.620527,0.763637,0.450294,hostile
benign-0166,0.230351,0.172888,0.599269,0.0,0.0,benign
surveillance-0036,0.700331,0.49389,0.52296,0.290826,0.599596,surveillance
benign-0160,0.316771,0.324963,0.425705,0.146283,0.0,benign
benign-0073,0.119253,0.350651,0.524731,0.191253,0.335041,benign
hostile-0059,1.0,0.970336,0.343041,0.615913,0.892457,hostile
benign-0006,0.360651,0.237602,0.661144,0.170224,0.368846,benign
hostile-0072,1.0,0.748055,0.515512,0.63808,0.707809,hostile
surveillance-0003,0.619528,0.551742,0.769202,0.326557,0.393001,surveillance
surveillance-0039,0.778772,0.347682,0.273486,0.153901,0.43184,surveillance
hostile-0033,0.708252,0.51134,0.415196,0.649724,0.843964,hostile
surveillance-0047,0.545864,0.570962,0.515931,0.516673,0.400561,surveillance
hostile-0141,0.856708,0.604603,0.401094,0.948017,0.790311,hostile
benign-0008,0.443232,0.534186,0.787344,0.312699,0.405561,benign
hostile-0024,0.921607,0.837268,0.515958,0.916352,0.758493,hostile
benign-0157,0.484785,0.312487,0.966195,0.132133,0.0,benign
surveillance-0087,0.840656,0.812036,0.558327,0.170515,0.562596,surveillance
benign-0107,0.172507,0.326459,0.625491,0.358836,0.316661,benign
surveillance-0144,0.710338,0.724444,0.442954,0.180024,0.539737,surveillance
surveillance-0178,0.554831,0.427056,0.661871,0.113658,0.293011,surveillance
hostile-0007,0.553295,0.607277,0.399873,0.697848,0.535427,hostile
surveillance-0037,0.84178,0.32655,0.620631,0.300015,0.802412,surveillance
surveillance-0012,0.630978,0.570282,0.762736,0.40194,0.49268,surveillance
surveillance-0051,0.528469,0.27238,0.670872,0.458967,0.621677,surveillance
benign-0114,0.147948,0.19622,0.79144,0.219773,0.311473,benign
hostile-0038,1.0,0.824743,0.421368,0.840663,0.605966,hostile
hostile-0126,0.810742,0.498316,0.321183,0.889449,0.720517,hostile
benign-0044,0.26466,0.00944,1.0,0.165067,0.221299,benign
surveillance-0098,0.501255,0.523226,0.532901,0.224214,0.638207,surveillance
hostile-0066,0.719028,0.923971,0.753352,0.746843,0.822526,hostile
hostile-0143,0.941508,0.523099,0.352851,0.835688,0.689185,hostile
benign-0003,0.234387,0.072142,0.750007,0.206228,0.383769,benign
benign-0011,0.255174,0.274599,0.736398,0.456978,0.460682,benign
hostile-0173,0.762766,0.757518,0.40295,0.901131,0.590195,hostile
surveillance-0086,0.474402,0.236667,0.861971,0.286121,0.388544,surveillance
benign-0029,0.283589,0.038381,0.71357,0.180387,0.403042,benign
hostile-0091,0.897502,0.496404,0.284577,0.684304,0.549954,hostile
benign-0128,0.031669,0.330914,0.743666,0.11096,0.396967,benign
surveillance-0156,0.871591,0.715695,0.779527,0.097312,0.679427,surveillance
surveillance-0045,0.504613,0.529681,0.845012,0.500446,0.708356,surveillance
benign-0170,0.370356,0.559435,0.83905,0.0,0.208256,benign
surveillance-0111,0.375315,0.537813,0.871204,0.273822,0.537747,surveillance
hostile-0118,0.755589,0.66987,0.562797,0.854001,1.0,hostile
benign-0146,0.297677,0.068908,0.932841,0.397099,0.179001,benign
hostile-0049,1.0,0.446434,0.414158,0.731875,0.953291,hostile
surveillance-0089,0.631747,0.683949,0.785358,0.346576,0.568321,surveillance
hostile-0108,0.801056,0.650173,0.553305,0.769382,0.862807,hostile
surveillance-0114,0.700176,0.73991,0.56435,0.16565,0.489332,surveillance
benign-0021,0.080194,0.355385,0.965943,0.14888,0.064881,benign
benign-0154,0.235626,0.409898,0.572734,0.17203,0.099406,benign
hostile-0140,0.525689,0.631426,0.619027,0.80576,0.984429,hostile
surveillance-0050,0.7106,0.59238,0.606843,0.0,0.602668,surveillance
surveillance-0091,0.992035,0.574899,0.916242,0.619626,0.943467,surveillance
surveillance-0056,0.835813,0.699825,0.68267,0.19819,0.424447,surveillance
hostile-0114,0.773572,0.456509,0.212064,1.0,0.657907,hostile
surveillance-0093,0.500789,1.0,0.673936,0.51824,0.299275,surveillance
surveillance-0163,0.824044,0.813568,0.852488,0.297401,0.794059,surveillance
benign-0063,0.242768,0.341128,0.80634,0.13034,0.520835,benign
surveillance-0121,0.998356,0.362088,0.72725,0.173975,0.492128,surveillance
surveillance-0042,0.558649,0.260636,0.655286,0.300741,0.3996,surveillance
hostile-0157,0.62054,0.863615,0.161753,0.975396,0.812487,hostile
benign-0009,0.221581,0.50284,0.831174,0.035504,0.306227,benign
hostile-0034,0.925243,0.924106,0.566095,0.656193,0.7609,hostile
benign-0026,0.345019,0.350998,0.847673,0.21375,0.506584,benign
hostile-0026,0.561318,0.464093,0.559084,0.774185,0.648854,hostile
surveillance-0009,0.728988,0.420677,0.687611,0.508472,0.767126,surveillance
hostile-0171,0.8365,0.905453,0.53582,0.786549,1.0,hostile
hostile-0061,0.94948,0.687323,0.510675,0.718766,0.993321,hostile
benign-0018,0.341192,0.012494,0.911733,0.22005,0.246043,benign
benign-0176,0.248077,0.233689,0.809086,0.03273,0.286597,benign
benign-0156,0.0,0.286641,0.820206,0.0,0.593202,benign
benign-0078,0.159422,0.326358,0.748717,0.067214,0.254022,benign
surveillance-0162,0.742733,0.181511,0.706165,0.362409,0.932104,surveillance
surveillance-0035,0.681435,0.278654,0.755292,0.373882,0.771089,surveillance
hostile-0068,0.888483,0.83883,0.234461,0.735089,0.70406,hostile
benign-0173,0.429486,0.145968,0.608731,0.131325,0.058062,benign
hostile-0117,0.702949,0.527439,0.504055,0.840853,0.953942,hostile
surveillance-0101,0.641884,0.442628,0.788283,0.365746,0.280511,surveillance
hostile-0052,0.526706,0.457385,0.525169,0.546918,1.0,hostile
hostile-0121,0.841976,0.873643,0.69924,0.890185,0.891164,hostile
benign-0108,0.202092,0.108501,0.760784,0.190898,0.05906,benign
surveillance-0073,0.32718,0.791963,0.726175,0.447009,0.705815,surveillance
surveillance-0159,0.418369,0.505241,0.869286,0.347218,0.57259,surveillance
surveillance-0059,0.876173,0.360492,0.365457,0.063087,0.756939,surveillance
hostile-0043,0.998689,0.331263,0.150776,0.672163,0.951399,hostile
benign-0041,0.0,0.459975,0.853208,0.289516,0.090054,benign
benign-0014,0.03013,0.273724,0.673602,0.161609,0.416726,benign
benign-0064,0.286993,0.311333,0.733891,0.0,0.344043,benign
benign-0056,0.281591,0.569675,0.758123,0.37661,0.166526,benign
hostile-0077,0.779727,0.577143,0.407102,0.765069,0.672012,hostile
surveillance-0127,0.455826,0.387554,0.482573,0.448315,0.665963,surveillance
surveillance-0173,0.710243,0.485279,0.638882,0.339026,0.6482,surveillance
benign-0060,0.235447,0.118649,0.799475,0.0,0.322363,benign
benign-0007,0.170506,0.320955,0.828476,0.095183,0.169068,benign
benign-0068,0.140327,0.428992,0.907385,0.184415,0.415239,benign
hostile-0087,0.952495,0.663991,0.194298,0.709467,0.465715,hostile
benign-0163,0.19759,0.545028,0.670892,0.153226,0.249793,benign
benign-0116,0.288804,0.527047,0.689689,0.13351,0.365034,benign
surveillance-0057,0.673376,0.593713,0.769738,0.636971,0.754589,surveillance
benign-0111,0.181445,0.470415,0.897475,0.389624,0.561638,benign
hostile-0046,0.744223,0.895179,0.374164,0.839025,0.826735,hostile
surveillance-0133,0.774183,0.448211,0.909103,0.400133,0.739574,surveillance
benign-0148,0.105422,0.575504,0.792018,0.201874,0.0,benign
benign-0152,0.198248,0.315196,0.567997,0.290477,0.701435,benign
hostile-0083,0.924846,0.632067,0.237818,1.0,0.721914,hostile
benign-0168,0.223545,0.235433,0.616918,0.295543,0.143642,benign
surveillance-0125,0.576261,0.371677,0.294771,0.26152,0.477451,surveillance
benign-0004,0.206225,0.562614,0.669346,0.259722,0.0,benign
surveillance-0060,0.572507,0.737261,0.588346,0.190877,0.614443,surveillance
hostile-0012,0.799586,0.799623,0.445715,1.0,0.799675,hostile
benign-0012,0.0,0.286498,0.521581,0.197691,0.260609,benign
hostile-0060,0.924785,0.851845,0.71265,0.678171,0.638035,hostile
benign-0120,0.344133,0.205622,0.919523,0.362948,0.514205,benign
surveillance-0129,0.937749,0.60658,0.648153,0.529652,0.736221,surveillance
hostile-0074,0.589623,0.699813,0.0592,0.639731,0.695312,hostile
benign-0081,0.208203,0.0,0.919336,0.0,0.260876,benign
benign-0101,0.161486,0.378254,0.592132,0.419025,0.014927,benign
surveillance-0030,0.541479,0.281917,0.606472,0.412577,0.801995,surveillance
benign-0028,0.438867,0.210474,0.780274,0.20646,0.133426,benign
benign-0030,0.0,0.13205,0.853553,0.126398,0.193316,benign
hostile-0151,0.780902,0.516431,0.486923,1.0,0.722483,hostile
hostile-0110,0.499977,0.772572,0.713479,1.0,0.766544,hostile
hostile-0063,0.642085,0.822036,0.689319,0.635749,0.909126,hostile
surveillance-0084,0.643991,0.638303,0.598686,0.415065,0.492375,surveillance
surveillance-0171,0.616811,0.295763,0.926812,0.064241,0.695087,surveillance
hostile-0119,0.820074,0.658662,0.490372,0.816181,0.89882,hostile
benign-0129,0.396712,0.20816,0.552892,0.041692,0.30944,benign
benign-0085,0.183936,0.324761,1.0,0.056837,0.037385,benign
surveillance-0137,0.666312,0.577322,0.667498,0.017496,0.509786,surveillance
hostile-0128,0.857804,0.658962,0.208824,0.805196,0.509704,hostile
surveillance-0143,0.632945,0.799582,0.671024,0.512426,0.231241,surveillance
hostile-0008,0.708398,0.801807,0.545924,0.710303,0.468422,hostile
hostile-0167,0.823836,0.796602,0.380684,0.792089,0.651032,hostile
surveillance-0118,0.780634,0.565526,0.70145,0.450768,0.519984,surveillance
surveillance-0099,0.8259,0.688227,0.513917,0.148731,0.331391,surveillance
benign-0039,0.078028,0.157447,0.665122,0.24273,0.428149,benign
hostile-0022,0.618181,0.952632,0.320777,0.812807,0.857601,hostile
hostile-0116,0.816367,0.677275,0.412495,1.0,1.0,hostile
surveillance-0048,0.85827,0.480823,0.577876,0.416123,0.541003,surveillance
benign-0096,0.278498,0.393931,0.81583,0.187315,0.43387,benign
hostile-0084,0.687986,0.685765,0.273452,0.89329,0.920375,hostile
benign-0083,0.09448,0.0,0.960285,0.237468,0.58472,benign
hostile-0055,0.560877,0.875353,0.303303,0.868668,0.897747,hostile
hostile-0088,0.774882,0.404393,0.41162,0.520128,0.717885,hostile
benign-0121,0.240563,0.513841,0.872853,0.166268,0.435019,benign
hostile-0040,0.991828,0.295044,0.507953,0.903891,0.620436,hostile
benign-0022,0.361701,0.300404,0.617238,0.244203,0.642076,benign
hostile-0120,0.889038,0.93506,0.343357,0.907151,0.945457,hostile
hostile-0127,0.540438,0.947527,0.501614,0.877956,0.378457,hostile
benign-0117,0.137104,0.0,0.773598,0.0,0.425533,benign
hostile-0044,0.996811,0.817589,0.562042,1.0,0.912079,hostile
surveillance-0174,0.808853,0.830871,0.788536,0.13377,0.403572,surveillance
surveillance-0023,0.848475,0.209702,0.584844,0.391741,0.757744,surveillance
hostile-0142,0.832065,0.819051,0.531042,0.854548,0.640784,hostile
surveillance-0065,0.698333,0.201038,0.38388,0.227195,0.612791,surveillance
surveillance-0105,0.932584,0.402558,0.61329,0.570773,0.4306,surveillance
benign-0016,0.230352,0.255987,0.81624,0.074073,0.148925,benign
benign-0136,0.0,0.622869,0.773658,0.240539,0.3081,benign
surveillance-0141,0.633958,0.62636,0.95332,0.249981,0.228345,surveillance
surveillance-0135,1.0,0.5988,0.587925,0.45922,0.463395,surveillance
hostile-0054,0.765504,0.871266,0.754257,0.714307,0.48837,hostile
