sample_id,coverage,risk_alignment,resource_efficiency,constraint_fit,authorization,lstm_trend,priority,objective_fit,label
decision-reference-0034,0.173477,0.547543,0.872594,0.960047,1.0,0.159678,0.588794,0.204336,1
decision-reference-0035,0.156382,0.352569,0.442869,0.74023,1.0,0.592623,0.158855,0.180982,0
decision-reference-0036,0.387468,0.254473,0.796596,0.410137,1.0,0.150654,0.346913,0.661682,1
decision-reference-0037,0.419047,0.153747,0.466501,0.741699,0.0,0.191058,0.923562,0.522311,0
decision-reference-0038,0.585265,0.750835,0.909546,0.152114,1.0,0.565086,0.840761,0.91771,1
decision-reference-0039,0.907849,0.166467,0.229224,0.88002,1.0,0.183284,0.990053,0.010705,1
decision-reference-0040,0.69462,0.431548,0.82269,0.811335,1.0,0.580438,0.398752,0.300901,1
decision-reference-0041,0.752619,0.992192,0.851692,0.872144,1.0,0.171842,0.733616,0.139625,1
decision-reference-0042,0.825166,0.071906,0.751845,0.017032,1.0,0.464386,0.701907,0.981962,1
decision-reference-0043,0.350346,0.014397,0.937213,0.869984,1.0,0.77359,0.305158,0.832534,1
decision-reference-0044,0.079234,0.348545,0.135267,0.674806,0.0,0.252595,0.207517,0.154903,0
decision-reference-0045,0.299401,0.84766,0.108978,0.433658,1.0,0.582612,0.68793,0.918781,1
decision-reference-0046,0.988048,0.348874,0.685234,0.858459,1.0,0.182063,0.030837,0.990004,1
decision-reference-0047,0.35718,0.573175,0.266187,0.286773,1.0,0.459643,0.097639,0.706526,1
decision-reference-0048,0.109723,0.375914,0.07287,0.393155,1.0,0.116725,0.218632,0.205444,0
decision-reference-0049,0.566811,0.148032,0.012381,0.445133,1.0,0.537579,0.44248,0.927986,0
decision-reference-0050,0.678139,0.482165,0.464656,0.530495,1.0,0.748433,0.437889,0.605389,1
decision-reference-0051,0.33048,0.116154,0.324171,0.957095,1.0,0.635272,0.421518,0.023819,0
decision-reference-0052,0.413533,0.122705,0.094313,0.301651,1.0,0.963007,0.202585,0.245107,0
decision-reference-0053,0.252002,0.073713,0.842337,0.590083,1.0,0.944065,0.19155,0.336466,0
decision-reference-0054,0.025243,0.32519,0.85189,0.005306,1.0,0.488497,0.433847,0.796888,0
decision-reference-0055,0.154824,0.403899,0.824833,0.870115,1.0,0.272002,0.720445,0.207102,1
decision-reference-0056,0.365483,0.172742,0.921806,0.098896,0.0,0.017155,0.050989,0.53206,0
decision-reference-0057,0.685299,0.024886,0.576575,0.460438,0.0,0.147216,0.424513,0.189429,0
decision-reference-0058,0.224654,0.224593,0.613844,0.134127,1.0,0.947621,0.588653,0.281887,0
decision-reference-0059,0.715222,0.806811,0.764606,0.815774,1.0,0.455475,0.281686,0.670353,1
decision-reference-0060,0.47425,0.019042,0.973588,0.10038,1.0,0.315036,0.581287,0.114476,0
decision-reference-0061,0.216539,0.521842,0.024395,0.325789,1.0,0.677067,0.710661,0.245598,0
decision-reference-0062,0.082061,0.443901,0.295752,0.886437,1.0,0.949709,0.816235,0.49088,1
decision-reference-0063,0.814802,0.485946,0.923529,0.245307,1.0,0.700736,0.295473,0.798296,1
decision-reference-0064,0.840145,0.331605,0.8193,0.828084,1.0,0.959007,0.015648,0.307285,1
decision-reference-0065,0.937393,0.587674,0.59073,0.753015,1.0,0.076077,0.775547,0.023715,1
decision-reference-0066,0.621539,0.604052,0.177875,0.881423,1.0,0.394937,0.116722,0.890395,1
decision-reference-0067,0.571907,0.201633,0.051849,0.067265,1.0,0.320942,0.563364,0.938085,0
decision-reference-0068,0.721378,0.518754,0.657017,0.89555,1.0,0.01495,0.802692,0.067692,1
decision-reference-0069,0.570457,0.500795,0.074107,0.149828,1.0,0.369727,0.074953,0.066813,0
decision-reference-0070,0.772329,0.799852,0.028559,0.906104,1.0,0.305103,0.788547,0.261586,1
decision-reference-0071,0.260707,0.867998,0.747921,0.324513,1.0,0.44167,0.268425,0.836713,1
decision-reference-0072,0.428614,0.006811,0.010968,0.139009,1.0,0.536345,0.77187,0.893228,0
decision-reference-0073,0.241262,0.146199,0.988654,0.286787,1.0,0.649252,0.373638,0.813058,0
decision-reference-0074,0.135439,0.153584,0.731486,0.931534,1.0,0.030817,0.703698,0.773215,0
decision-reference-0075,0.266689,0.097306,0.442194,0.412988,1.0,0.840883,0.231577,0.840184,0
decision-reference-0076,0.44546,0.035712,0.254624,0.99591,1.0,0.760321,0.571983,0.183918,1
decision-reference-0077,0.18128,0.173962,0.674357,0.255804,1.0,0.874291,0.821508,0.627678,0
decision-reference-0078,0.151386,0.217329,0.843582,0.598379,1.0,0.273384,0.12058,0.362218,1
decision-reference-0079,0.0062,0.795347,0.984702,0.699841,1.0,0.933758,0.666231,0.126754,1
decision-reference-0080,0.174144,0.798951,0.050135,0.148314,1.0,0.759517,0.932286,0.746679,1
decision-reference-0081,0.790715,0.127727,0.181367,0.41685,0.0,0.78828,0.373767,0.988506,0
decision-reference-0082,0.604117,0.492434,0.14786,0.250312,1.0,0.61818,0.095626,0.486081,0
decision-reference-0083,0.09925,0.870779,0.495346,0.812249,1.0,0.815633,0.657609,0.563484,1
decision-reference-0084,0.186465,0.07067,0.656483,0.011265,1.0,0.692572,0.403183,0.924205,0
decision-reference-0085,0.850226,0.880092,0.596649,0.763507,1.0,0.655511,0.066146,0.710898,1
decision-reference-0086,0.113055,0.914714,0.180269,0.256655,1.0,0.018715,0.312188,0.369769,0
decision-reference-0087,0.914385,0.7521,0.524354,0.406203,0.0,0.589218,0.278883,0.524486,1
decision-reference-0088,0.094905,0.76688,0.124439,0.150659,1.0,0.364213,0.145226,0.465491,0
decision-reference-0089,0.730227,0.531142,0.872298,0.899903,0.0,0.214616,0.398011,0.893828,1
decision-reference-0090,0.668152,0.37565,0.007568,0.519622,1.0,0.795354,0.283617,0.777887,1
decision-reference-0091,0.616304,0.973368,0.129766,0.312071,1.0,0.887378,0.287759,0.902261,1
decision-reference-0092,0.001942,0.983235,0.273334,0.355193,1.0,0.919425,0.74022,0.736095,1
decision-reference-0093,0.36448,0.658458,0.503117,0.260582,1.0,0.301235,0.151834,0.355877,1
decision-reference-0094,0.785006,0.690287,0.508567,0.822664,1.0,0.340233,0.882659,0.303639,1
decision-reference-0095,0.858398,0.34794,0.212793,0.443332,1.0,0.936351,0.315952,0.571843,1
decision-reference-0096,0.530405,0.96102,0.353936,0.495125,0.0,0.226316,0.250823,0.890445,1
decision-reference-0097,0.829013,0.158282,0.867976,0.047105,1.0,0.609647,0.063585,0.745868,0
decision-reference-0098,0.427798,0.597553,0.89277,0.061317,1.0,0.825169,0.363582,0.959336,0
decision-reference-0099,0.350957,0.105689,0.146037,0.601311,1.0,0.520392,0.863918,0.618269,0
decision-reference-0100,0.009451,0.876226,0.806102,0.173646,1.0,0.153511,0.585911,0.245511,0
decision-reference-0101,0.266584,0.226395,0.229685,0.833991,1.0,0.627741,0.881829,0.820827,0
decision-reference-0102,0.926677,0.398147,0.136385,0.095055,0.0,0.691249,0.300147,0.144759,0
decision-reference-0103,0.853225,0.476709,0.942481,0.076743,0.0,0.566716,0.917388,0.426423,1
decision-reference-0104,0.920349,0.585244,0.458067,0.777216,0.0,0.494296,0.410236,0.953464,1
decision-reference-0105,0.363539,0.341007,0.111859,0.442363,1.0,0.127492,0.530626,0.683739,0
decision-reference-0106,0.703735,0.250722,0.548155,0.938012,1.0,0.993731,0.693205,0.914625,1
decision-reference-0107,0.361665,0.40456,0.619707,0.70073,1.0,0.329745,0.616414,0.78494,1
decision-reference-0108,0.693341,0.046632,0.235694,0.051708,0.0,0.69387,0.334513,0.383676,0
decision-reference-0109,0.87528,0.787006,0.644229,0.049146,1.0,0.68077,0.313298,0.196188,1
decision-reference-0110,0.637453,0.569061,0.978219,0.608685,1.0,0.381611,0.468419,0.737394,1
decision-reference-0111,0.640445,0.211174,0.096103,0.266673,1.0,0.515275,0.496512,0.725491,0
decision-reference-0112,0.931401,0.109056,0.015072,0.605386,1.0,0.262052,0.047667,0.472984,1
decision-reference-0113,0.52417,0.242988,0.104566,0.740213,1.0,0.41746,0.389581,0.246251,1
decision-reference-0114,0.121248,0.358301,0.635443,0.338133,0.0,0.642681,0.172582,0.98334,0
decision-reference-0115,0.453179,0.128028,0.089665,0.536509,1.0,0.137285,0.859152,0.066773,0
decision-reference-0116,0.745318,0.220556,0.248819,0.084191,0.0,0.137135,0.254865,0.440098,0
decision-reference-0117,0.508836,0.362805,0.231772,0.536987,1.0,0.122384,0.231588,0.334114,0
decision-reference-0118,0.748194,0.505275,0.253539,0.285944,1.0,0.040732,0.309357,0.606117,0
decision-reference-0119,0.121069,0.060153,0.185357,0.870114,1.0,0.633083,0.700524,0.499969,1
decision-reference-0120,0.798644,0.617711,0.963002,0.954466,1.0,0.940116,0.465072,0.44163,1
decision-reference-0121,0.780459,0.646102,0.185326,0.774055,1.0,0.174338,0.85234,0.54607,1
decision-reference-0122,0.313104,0.571482,0.619463,0.189028,0.0,0.254879,0.678302,0.747226,0
decision-reference-0123,0.782537,0.859144,0.560202,0.838349,1.0,0.41452,0.23339,0.811912,1
decision-reference-0124,0.188496,0.703129,0.764963,0.784566,1.0,0.655119,0.01364,0.474887,1
decision-reference-0125,0.408133,0.086866,0.212335,0.054904,0.0,0.856119,0.457646,0.305902,0
decision-reference-0126,0.339217,0.588725,0.201686,0.765564,1.0,0.693849,0.309199,0.334568,1
decision-reference-0127,0.397112,0.91709,0.146639,0.297141,1.0,0.995292,0.806785,0.992914,1
decision-reference-0128,0.588859,0.995381,0.640097,0.495723,1.0,0.829215,0.779863,0.178248,1
decision-reference-0129,0.27654,0.373067,0.560046,0.593773,1.0,0.872305,0.873754,0.434154,1
decision-reference-0130,0.7546,0.255908,0.357241,0.69656,1.0,0.88779,0.592278,0.780441,1
decision-reference-0131,0.844105,0.285426,0.909194,0.267164,1.0,0.645444,0.1061,0.812841,1
decision-reference-0132,0.234128,0.589791,0.909417,0.013977,0.0,0.903085,0.163766,0.904699,0
decision-reference-0133,0.906041,0.87439,0.308345,0.784902,1.0,0.633937,0.391473,0.919022,1
decision-reference-0134,0.839163,0.666715,0.526588,0.196659,1.0,0.129031,0.898486,0.903803,1
decision-reference-0135,0.247802,0.241902,0.007244,0.335016,0.0,0.826939,0.473662,0.484128,0
decision-reference-0136,0.89743,0.123767,0.955058,0.01092,1.0,0.681836,0.905871,0.928135,1
decision-reference-0137,0.296508,0.969209,0.227356,0.469127,1.0,0.701012,0.469124,0.358983,1
decision-reference-0138,0.923447,0.788412,0.189418,0.865999,1.0,0.134169,0.382404,0.34306,1
decision-reference-0139,0.537468,0.491299,0.638453,0.021187,1.0,0.353551,0.720034,0.270778,0
decision-reference-0140,0.616653,0.64668,0.675689,0.4608,1.0,0.917408,0.174748,0.173182,1
decision-reference-0141,0.768568,0.165027,0.027503,0.354601,1.0,0.703141,0.025707,0.236178,0
decision-reference-0142,0.815202,0.65229,0.420786,0.322198,1.0,0.603114,0.036277,0.799672,1
decision-reference-0143,0.931355,0.853322,0.27675,0.657027,1.0,0.213314,0.932385,0.49059,1
decision-reference-0144,0.099956,0.052726,0.000578,0.935747,1.0,0.859977,0.84149,0.067156,0
decision-reference-0145,0.346146,0.170465,0.757686,0.396786,1.0,0.373369,0.562772,0.653202,1
decision-reference-0146,0.675191,0.95648,0.690532,0.281934,1.0,0.021425,0.519419,0.479062,1
decision-reference-0147,0.747833,0.382202,0.820409,0.300363,1.0,0.168358,0.921049,0.513049,1
decision-reference-0148,0.522763,0.122751,0.616812,0.339685,1.0,0.622683,0.937723,0.24869,1
decision-reference-0149,0.88155,0.257651,0.961817,0.170074,1.0,0.57777,0.21079,0.060629,1
decision-reference-0150,0.146869,0.73219,0.291238,0.039709,1.0,0.643873,0.380482,0.31578,0
decision-reference-0151,0.928543,0.944559,0.823321,0.488793,1.0,0.123235,0.607319,0.141792,1
decision-reference-0152,0.790734,0.651736,0.070195,0.874396,1.0,0.465796,0.230595,0.412168,1
decision-reference-0153,0.700841,0.417653,0.532504,0.946307,1.0,0.968592,0.887774,0.577907,1
decision-reference-0154,0.606269,0.41323,0.573471,0.123156,1.0,0.624,0.568439,0.095502,1
decision-reference-0155,0.027362,0.815106,0.251653,0.504691,1.0,0.615964,0.647471,0.058908,0
decision-reference-0156,0.307004,0.841753,0.084469,0.321695,0.0,0.62247,0.347933,0.507259,0
decision-reference-0157,0.906407,0.405217,0.034097,0.790389,0.0,0.431899,0.338996,0.862412,1
decision-reference-0158,0.949381,0.330687,0.304577,0.27671,1.0,0.259625,0.263135,0.470306,1
decision-reference-0159,0.098328,0.03375,0.759201,0.86974,0.0,0.363168,0.029521,0.277261,0
decision-reference-0160,0.640196,0.053432,0.729215,0.963058,1.0,0.577066,0.509998,0.153375,1
decision-reference-0161,0.241274,0.0863,0.956811,0.889504,1.0,0.824883,0.606285,0.770157,1
decision-reference-0162,0.617656,0.229416,0.44595,0.458495,1.0,0.847426,0.758824,0.509066,1
decision-reference-0163,0.936431,0.594049,0.282116,0.869926,1.0,0.336199,0.543985,0.870588,1
decision-reference-0164,0.292537,0.72857,0.917589,0.829558,1.0,0.626601,0.03966,0.44805,1
decision-reference-0165,0.941127,0.255018,0.447532,0.156852,0.0,0.120144,0.922005,0.463957,0
decision-reference-0166,0.810551,0.813169,0.032297,0.451511,1.0,0.032394,0.935771,0.653176,1
decision-reference-0167,0.288167,0.065591,0.006663,0.829392,1.0,0.408365,0.935755,0.296523,0
decision-reference-0168,0.149551,0.381815,0.186939,0.307962,1.0,0.119915,0.549101,0.429547,0
decision-reference-0169,0.416565,0.882352,0.409032,0.134091,1.0,0.466272,0.603848,0.746259,1
decision-reference-0170,0.553266,0.00491,0.656856,0.763291,1.0,0.944935,0.597457,0.824982,1
decision-reference-0171,0.885251,0.19491,0.192757,0.377683,1.0,0.198422,0.471208,0.885312,1
decision-reference-0172,0.821555,0.969008,0.611937,0.949728,1.0,0.568201,0.198849,0.657237,1
decision-reference-0173,0.640274,0.083618,0.663985,0.109731,1.0,0.183169,0.45216,0.852937,0
decision-reference-0174,0.489319,0.199695,0.994798,0.713211,0.0,0.024248,0.991099,0.991317,1
decision-reference-0175,0.884594,0.463308,0.945019,0.246153,1.0,0.921509,0.070718,0.640914,1
decision-reference-0176,0.632298,0.880435,0.958745,0.87741,1.0,0.272517,0.863921,0.459355,1
decision-reference-0177,0.896392,0.161417,0.513045,0.002761,1.0,0.504531,0.085057,0.806776,0
decision-reference-0178,0.94225,0.860182,0.555194,0.896941,1.0,0.811623,0.921945,0.426617,1
decision-reference-0179,0.185116,0.158685,0.887238,0.344534,1.0,0.100473,0.481641,0.210529,0
decision-reference-0180,0.040973,0.530032,0.508718,0.328794,1.0,0.9922,0.990158,0.455253,0
decision-reference-0181,0.173132,0.585352,0.653238,0.814303,1.0,0.925102,0.510785,0.015492,1
decision-reference-0182,0.493408,0.289119,0.983135,0.437804,1.0,0.437051,0.407586,0.073779,0
decision-reference-0183,0.473416,0.456379,0.133119,0.389038,1.0,0.387466,0.055558,0.349197,0
decision-reference-0184,0.768907,0.700829,0.342571,0.558849,1.0,0.133106,0.227238,0.685372,1
decision-reference-0185,0.467618,0.044803,0.685041,0.394715,1.0,0.929411,0.542154,0.472222,0
decision-reference-0186,0.680974,0.551809,0.421966,0.492236,1.0,0.991918,0.104138,0.013071,1
decision-reference-0187,0.599628,0.805515,0.940413,0.290105,0.0,0.815593,0.275941,0.114537,0
decision-reference-0188,0.997491,0.506207,0.229681,0.684032,1.0,0.930194,0.287794,0.932412,1
decision-reference-0189,0.075477,0.660696,0.182585,0.199867,0.0,0.443506,0.71121,0.634953,0
decision-reference-0190,0.031219,0.162111,0.577856,0.932775,1.0,0.191513,0.00292,0.014684,0
decision-reference-0191,0.653486,0.483024,0.403782,0.750526,1.0,0.664417,0.923104,0.696988,1
decision-reference-0192,0.511045,0.444689,0.216693,0.09379,1.0,0.077715,0.262918,0.997823,1
decision-reference-0193,0.485461,0.875637,0.995583,0.724938,1.0,0.878929,0.439086,0.731967,1
decision-reference-0194,0.20441,0.078285,0.340863,0.579044,1.0,0.125082,0.53951,0.170102,0
decision-reference-0195,0.891184,0.372723,0.595489,0.871022,1.0,0.201449,0.722252,0.170687,1
decision-reference-0196,0.580592,0.398436,0.75811,0.8942,1.0,0.942287,0.471745,0.315269,1
decision-reference-0197,0.683495,0.594151,0.724908,0.531554,1.0,0.419666,0.078457,0.604949,1
decision-reference-0198,0.688498,0.11146,0.325461,0.592919,1.0,0.532637,0.684755,0.501065,1
decision-reference-0199,0.864141,0.316945,0.013687,0.322949,1.0,0.842856,0.95979,0.183281,1
decision-reference-0200,0.502338,0.83624,0.963094,0.194875,1.0,0.479613,0.958255,0.8458,1
decision-reference-0201,0.311848,0.407813,0.439846,0.81968,1.0,0.001853,0.335471,0.28585,0
decision-reference-0202,0.972187,0.590069,0.856189,0.136261,1.0,0.131434,0.301272,0.072509,1
decision-reference-0203,0.072283,0.82256,0.870693,0.744792,1.0,0.103797,0.938229,0.461885,1
decision-reference-0204,0.767291,0.82749,0.258418,0.906886,1.0,0.782786,0.428176,0.081618,1
decision-reference-0205,0.914256,0.992693,0.701239,0.195825,1.0,0.617464,0.24769,0.219584,1
decision-reference-0206,0.012976,0.553039,0.557421,0.720334,1.0,0.45798,0.722073,0.383844,1
decision-reference-0207,0.142082,0.906665,0.936045,0.411276,1.0,0.848434,0.172881,0.838695,1
decision-reference-0208,0.79488,0.435831,0.324648,0.837527,1.0,0.153055,0.399932,0.600519,1
decision-reference-0209,0.656867,0.207078,0.621819,0.00538,1.0,0.213214,0.526079,0.570099,0
decision-reference-0210,0.91366,0.688398,0.710352,0.131515,1.0,0.172247,0.744703,0.602666,1
decision-reference-0211,0.971534,0.442155,0.819426,0.27258,1.0,0.663242,0.039487,0.531608,1
decision-reference-0212,0.486407,0.87581,0.826207,0.882176,1.0,0.064787,0.286034,0.519039,1
decision-reference-0213,0.9156,0.951557,0.848214,0.721852,1.0,0.477941,0.151531,0.882333,1
decision-reference-0214,0.495877,0.391805,0.613489,0.400616,1.0,0.834094,0.617577,0.583227,1
decision-reference-0215,0.5413,0.217454,0.844578,0.116355,1.0,0.611729,0.225968,0.50382,0
decision-reference-0216,0.258734,0.542809,0.293453,0.339792,1.0,0.182246,0.076745,0.539143,0
decision-reference-0217,0.640662,0.219272,0.281673,0.601842,1.0,0.743812,0.741304,0.905949,1
decision-reference-0218,0.262636,0.873414,0.727959,0.867569,1.0,0.946665,0.79174,0.214988,1
decision-reference-0219,0.737058,0.299127,0.663125,0.100011,1.0,0.143326,0.661063,0.160354,0
decision-reference-0220,0.206602,0.538897,0.017881,0.417984,1.0,0.259581,0.376134,0.496316,0
decision-reference-0221,0.856154,0.435712,0.404052,0.576703,1.0,0.059068,0.726183,0.44024,1
decision-reference-0222,0.415996,0.357329,0.831701,0.696416,1.0,0.717771,0.394247,0.173397,1
decision-reference-0223,0.380557,0.73069,0.470912,0.157165,1.0,0.616133,0.134023,0.822983,1
decision-reference-0224,0.473256,0.580734,0.733046,0.508713,1.0,0.5182,0.825539,0.519461,1
decision-reference-0225,0.641852,0.28943,0.805727,0.584785,1.0,0.165422,0.243138,0.747287,1
decision-reference-0226,0.674303,0.629234,0.590175,0.468768,1.0,0.934923,0.211574,0.659174,1
decision-reference-0227,0.367499,0.126158,0.845308,0.742455,1.0,0.902589,0.39172,0.958908,1
decision-reference-0228,0.393915,0.9088,0.396152,0.288931,0.0,0.129987,0.637157,0.442805,0
decision-reference-0229,0.145775,0.16206,0.974505,0.186199,1.0,0.031581,0.592858,0.556766,0
decision-reference-0230,0.729128,0.393848,0.26873,0.640215,1.0,0.09594,0.414275,0.568288,1
decision-reference-0231,0.738413,0.899262,0.188987,0.65556,1.0,0.28615,0.287888,0.055906,1
decision-reference-0232,0.649808,0.265567,0.845148,0.422927,1.0,0.412339,0.081048,0.717845,1
decision-reference-0233,0.372162,0.501993,0.325868,0.05821,0.0,0.60302,0.998889,0.847737,0
decision-reference-0234,0.929501,0.695929,0.704422,0.442014,1.0,0.348864,0.220457,0.331573,1
decision-reference-0235,0.910761,0.813628,0.361217,0.427546,0.0,0.860658,0.216863,0.673435,1
decision-reference-0236,0.328329,0.526802,0.172285,0.95883,1.0,0.160448,0.961448,0.473751,1
decision-reference-0237,0.254443,0.349258,0.691648,0.727777,1.0,0.519855,0.612386,0.874423,1
decision-reference-0238,0.716569,0.869459,0.274791,0.017608,1.0,0.610169,0.051894,0.090046,0
decision-reference-0239,0.674644,0.555102,0.073281,0.054635,1.0,0.53278,0.32,0.213232,0
decision-reference-0240,0.081663,0.980736,0.025202,0.10353,1.0,0.930292,0.623068,0.17156,0
decision-reference-0241,0.191731,0.374025,0.055286,0.661865,1.0,0.381321,0.249679,0.278565,0
decision-reference-0242,0.710217,0.745757,0.837691,0.323093,0.0,0.431597,0.329616,0.26881,1
decision-reference-0243,0.890857,0.846147,0.4616,0.235674,1.0,0.585659,0.579883,0.669225,1
decision-reference-0244,0.897683,0.153586,0.119088,0.470185,1.0,0.70833,0.617901,0.739258,1
decision-reference-0245,0.40168,0.79371,0.699999,0.418737,1.0,0.687602,0.216824,0.831919,1
decision-reference-0246,0.141922,0.459804,0.726355,0.858843,1.0,0.425442,0.258264,0.300276,1
decision-reference-0247,0.587519,0.502012,0.775738,0.954897,1.0,0.028964,0.949957,0.484012,1
decision-reference-0248,0.344238,0.694773,0.797361,0.669894,0.0,0.350556,0.432932,0.918322,1
decision-reference-0249,0.523194,0.845724,0.201353,0.546317,1.0,0.754746,0.442541,0.720947,1
decision-reference-0250,0.93861,0.269095,0.160691,0.645632,1.0,0.330621,0.438211,0.261521,1
decision-reference-0251,0.842308,0.280558,0.295968,0.36554,1.0,0.055658,0.104706,0.237457,0
decision-reference-0252,0.692987,0.46742,0.140948,0.283309,1.0,0.633831,0.885461,0.529442,1
decision-reference-0253,0.68105,0.670766,0.218228,0.622376,1.0,0.066996,0.95129,0.900094,1
decision-reference-0254,0.140023,0.700218,0.551994,0.699028,1.0,0.175657,0.52473,0.758359,1
decision-reference-0255,0.892142,0.871357,0.385767,0.857837,0.0,0.039279,0.345216,0.041615,1
decision-reference-0256,0.512663,0.225074,0.578866,0.318511,1.0,0.35612,0.756208,0.59338,0
decision-reference-0257,0.078094,0.208793,0.579912,0.214998,1.0,0.357227,0.125386,0.358242,0
decision-reference-0258,0.706608,0.777297,0.347734,0.406886,1.0,0.388229,0.359711,0.548177,1
decision-reference-0259,0.39781,0.63027,0.403535,0.850163,0.0,0.172315,0.986664,0.456317,0
decision-reference-0260,0.214581,0.677661,0.876144,0.359589,1.0,0.871073,0.707543,0.498118,1
decision-reference-0261,0.233702,0.792415,0.421053,0.645676,0.0,0.469535,0.1645,0.940071,0
decision-reference-0262,0.218023,0.271029,0.851772,0.491285,1.0,0.00764,0.124539,0.541195,0
decision-reference-0263,0.761376,0.168586,0.316555,0.047592,1.0,0.023627,0.62851,0.344384,0
decision-reference-0264,0.119234,0.576031,0.089737,0.649035,1.0,0.966051,0.350922,0.21337,0
decision-reference-0265,0.163269,0.030167,0.136274,0.640672,0.0,0.905051,0.853008,0.606372,0
decision-reference-0266,0.474331,0.926062,0.132557,0.874864,1.0,0.39574,0.733943,0.307389,1
decision-reference-0267,0.359565,0.040012,0.317439,0.182968,1.0,0.452304,0.222911,0.78861,0
decision-reference-0268,0.858297,0.065919,0.243934,0.475164,1.0,0.764435,0.741404,0.394501,1
decision-reference-0269,0.364962,0.454016,0.270794,0.991104,0.0,0.850701,0.313201,0.537041,0
decision-reference-0270,0.81048,0.798109,0.491699,0.219947,1.0,0.997279,0.441498,0.958744,1
decision-reference-0271,0.018032,0.773637,0.819624,0.542033,1.0,0.268077,0.013709,0.505488,0
decision-reference-0272,0.848322,0.954493,0.275914,0.09174,1.0,0.979453,0.086424,0.905951,1
decision-reference-0273,0.585148,0.356691,0.079986,0.586413,0.0,0.154079,0.096548,0.811339,0
decision-reference-0274,0.711158,0.154814,0.958628,0.354803,0.0,0.695133,0.282725,0.645597,0
decision-reference-0275,0.891037,0.101224,0.436428,0.579512,1.0,0.910063,0.65085,0.912019,1
decision-reference-0276,0.639126,0.158807,0.522788,0.471868,1.0,0.494342,0.218166,0.428205,1
decision-reference-0277,0.680682,0.204381,0.333793,0.112201,1.0,0.194426,0.182643,0.335866,0
